"gene_id","832_M_281","832_M_BTK_217","832_N_273","832_N_BTK_209","832_P_289","832_P_BTK_225","832_T_297","832_T_BTK_233","833_M_280","833_M_BTK_216","833_N_272","833_N_BTK_208","833_P_288","833_P_BTK_224","833_T_296","833_T_BTK_232","entrez_id","transcript_id","gene_symbol"
41,0,0,0,0,150,0,0,1,0,0,0,1,0,2,0,0,"84069","uc001acd.3,uc001ace.3,uc001acf.3","PLEKHN1"
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"84808","uc001acg.2,uc001ach.2,uc031tlv.1","PERM1"
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"57801","uc001aci.2,uc010nyc.1","HES4"
44,11,8,31.84,2,12,9,1,1,6,3,1,3,8,0,0,0,"9636","uc001acj.4","ISG15"
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"uc031tlw.1",NA
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"uc031tlx.1",NA
47,0,18.13,0,0,59.56,0,0,0,2,0,0,246,0,0,1,0,"375790","uc001ack.2","AGRN"
48,0,0,0,4.85,6.43,0,1,0,0,0,0,15.84,0,0,1,0,NA,"uc001acl.1,uc009vjs.1",NA
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"uc031tly.1",NA
50,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,"401934","uc021oen.1","RNF223"
51,0,3,0,0,85,40,0,0,0,0,0,173,0,0,0,0,"54991","uc001acn.2,uc001acr.2,uc001acs.2,uc001act.2,uc001acu.2,uc010nyd.1","C1orf159"
52,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,"254099","uc001acv.3","LINC01342"
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"406984","uc001acw.2","MIR200B"
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"406983","uc010nye.1","MIR200A"
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"uc031pkr.1",NA
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"554210","uc010nyf.1","MIR429"
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"uc031pks.1",NA
58,5.32,0.17,9.3,1.93,16.49,12.35,3.87,0.99,2.98,0,0,86.71,28.32,0,0,1,NA,"uc001acx.1",NA
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"254173","uc001acy.2,uc001acz.2,uc010nyg.1","TTLL10"
60,2,0,4,2,0,0,1,0,0,0,0,0,0,0,0,0,"8784","uc001ada.3,uc001adb.3,uc001adc.3,uc001add.3","TNFRSF18"
61,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7293","uc001ade.3,uc001adf.3","TNFRSF4"
62,33.74,3,5,3.97,535.29,131.54,6,95.99,11,2,0,423,63.01,1,119,0,"51150","uc001adg.3,uc001adh.4,uc001adi.4,uc001adj.1,uc009vjw.3","SDF4"
63,1,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,"126792","uc001adk.3","B3GALT6"
64,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"388581","uc001adl.2","FAM132A"
65,14,0,135,4,27.99,0,12,0,0,1,0,714,4,0,1,0,"118424","uc001adm.5,uc001ado.3,uc001adp.3,uc001adq.3,uc001adr.3","UBE2J2"
66,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,"6339","uc001adt.1,uc001adu.1,uc001adv.2,uc001adw.2,uc001adx.2","SCNN1D"
67,48,0,0,0,77,1,1,0,0,0,0,283,1.01,0,1,0,"116983","uc001ady.2,uc001aea.2,uc001aeb.2,uc001aec.1","ACAP3"
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"102465434","uc031tlz.1","MIR6726"
69,1,2,0,0,1,0,34,2,3,0,0,163,5,0,0,0,"126789","uc001aed.3,uc009vjx.3,uc010nyi.2","PUSL1"
70,101.79,83.9,310.79,64.07,1699.57,106.67,68.45,104.52,62.65,2.34,4.4,3299.69,180.29,1.98,60.01,2,"54973","uc001aee.2,uc001aef.2,uc001aeg.2,uc001aeh.2,uc001aei.2,uc001aek.2,uc001ael.3,uc001aen.2,uc009vjy.1,uc009vjz.2,uc010nyj.2","CPSF3L"
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"102465435","uc031tma.1","MIR6727"
72,0,29.83,0,0,236,0,1,1,0,0,0,262,0,0,0,0,"80772","uc001aeo.3","CPTP"
