"gene_id","entrez_id","transcript_id","gene_symbol"
101,"2782","uc001aif.4,uc009vky.4,uc031tmu.1","GNB1"
102,"163688","uc001aih.1","CALML6"
103,"339456","uc001aii.2,uc001aij.2","TMEM52"
105,"85452","uc001aim.1,uc001ain.1,uc009vkz.1","CFAP74"
107,"2563","uc001aip.2","GABRD"
108,"5590","uc001aiq.3,uc001air.3,uc001ais.3,uc001ait.3,uc009vlb.3,uc010nyw.2,uc010nyx.2","PRKCZ"
110,"199990","uc001aiv.3,uc001aiw.3,uc001aix.2,uc001aiy.3,uc031pkt.1,uc031pku.1,uc031pkv.1,uc031tmv.1,uc031tmw.1","C1orf86"
112,"6497","uc001aja.4","SKI"
113,"79906","uc001ajb.1,uc001ajd.1,uc009vld.3","MORN1"
114,"100129534","uc001ajc.4","LOC100129534"
115,"79906","uc010nyy.2","MORN1"
116,"11079","uc001aje.2,uc001ajf.2","RER1"
117,"5192","uc001ajg.3,uc001ajh.3","PEX10"
118,"9651","uc001aji.1,uc001ajj.1,uc001ajk.1,uc001ajl.1,uc009vle.1,uc010nyz.2","PLCH2"
119,"55229","uc001ajm.1,uc010nza.1","PANK4"
120,"388585","uc001ajn.3","HES5"
121,"115110","uc001ajo.2,uc001ajp.2,uc001ajq.2","LOC115110"
123,"8764","uc001ajt.1","TNFRSF14"
124,"8764","uc001ajr.3,uc009vlf.1,uc010nzc.1","TNFRSF14"
125,"127281","uc001aju.3,uc001ajv.2,uc001ajw.2,uc001ajx.2,uc010nzd.2,uc010nze.2,uc010nzf.2,uc021oew.1,uc021oex.1","FAM213B"
126,"79258","uc001ajy.2,uc009vlg.1","MMEL1"
127,"100287898","uc021oey.1","TTC34"
131,"140625","uc001ajz.3","ACTRT2"
132,"440556","uc001aka.3","LINC00982"
133,"440556","uc010nzg.1","LINC00982"
134,"63976","uc001akc.3,uc001ake.3,uc001akf.3,uc009vlh.3","PRDM16"
135,"100422968","uc021oez.1","MIR4251"
136,"27237","uc001akg.4,uc001aki.3,uc001akj.3,uc009vli.1,uc010nzh.2","ARHGEF16"
137,"1953","uc001akk.3,uc001akl.3","MEGF6"
138,"693135","uc021ofa.1","MIR551A"
139,"127262","uc001akm.3,uc009vlj.3,uc031pkw.1","TPRG1L"
140,"49856","uc001akn.3,uc001ako.3,uc010nzi.3","WRAP73"
141,"7161","uc001akp.3,uc001akr.3,uc001aks.3,uc009vlk.2,uc009vll.3,uc010nzj.2,uc010nzk.2,uc010nzl.2,uc021ofb.1,uc021ofc.1,uc021ofd.1,uc021ofe.1,uc021off.1,uc021ofg.1,uc021ofh.1,uc021ofi.1","TP73"
143,"57212","uc001akt.4,uc009vlm.3,uc021ofj.1,uc021ofk.1,uc021ofl.1","TP73-AS1"
146,"148870","uc001akv.2","CCDC27"
147,"388588","uc001akw.5,uc031pkx.2","SMIM1"
148,"57470","uc001akx.1","LRRC47"
149,"9731","uc001aky.2,uc001akz.3,uc010nzm.1,uc031pky.1","CEP104"
150,"1677","uc001ala.2,uc001alb.4,uc001alc.4,uc001ald.4,uc001ale.4,uc009vln.2,uc009vlo.2,uc009vlp.4,uc009vlq.4,uc009vlr.4,uc010nzn.3","DFFB"
151,"339448","uc001alf.3,uc009vls.3","C1orf174"
152,"100133612","uc001alg.3,uc001alh.4,uc010nzo.2","LINC01134"
153,"728716","uc001ali.2","LINC01346"
156,"284661","uc001alj.2","LOC284661"
157,"55966","uc001alm.1,uc001aln.3","AJAP1"
164,"100616489","uc021ofm.1","MIR4417"
168,"100616421","uc021ofn.1","MIR4689"
169,"261734","uc001alq.2,uc001alr.1,uc001als.3,uc001alt.4,uc009vlt.3,uc009vlu.2","NPHP4"
170,"8514","uc001alu.3,uc001alv.2,uc001alw.2,uc001alx.2,uc001aly.2,uc009vlv.2,uc009vlw.2","KCNAB2"
171,"26038","uc001alz.2,uc001ama.2,uc001amb.2,uc001amc.1","CHD5"
172,"6146","uc001amd.3,uc001ame.3","RPL22"
173,"388591","uc001amf.1,uc001amg.3,uc001amh.3,uc010nzp.1","RNF207"
174,"23463","uc001amk.3,uc001aml.3","ICMT"
175,"148645","uc031tnm.1","LINC00337"
176,"390992","uc009vly.2","HES3"
177,"387509","uc001amp.2","GPR153"
178,"11332","uc001amq.3,uc001amr.3,uc001ams.3,uc001amt.3,uc001amu.3","ACOT7"
180,"54626","uc001amw.4,uc001amx.3","HES2"
181,"83715","uc001amy.3,uc001amz.3","ESPN"
182,"100422975","uc021ofo.1","MIR4252"
183,"8718","uc001ana.3,uc001anb.3,uc001anc.3,uc001and.3,uc001ane.3,uc001anf.3,uc001ang.3,uc001anh.3,uc001ani.1,uc009vlz.3","TNFRSF25"
184,"57449","uc001anj.1,uc001ank.1,uc001anl.2,uc001anm.2,uc001ann.1,uc001ano.1,uc001anp.2,uc001anq.2,uc009vma.1,uc009vmb.2,uc010nzr.1,uc031plb.1","PLEKHG5"
185,"79707","uc001ans.3,uc010nzs.2","NOL9"
186,"80835","uc001ant.3,uc001anu.3,uc021ofp.1","TAS1R1"
187,"3104","uc001anx.4,uc001any.2,uc009vmc.3,uc009vmd.3","ZBTB48"
188,"9903","uc001anz.1,uc001aoa.3,uc009vme.3","KLHL21"
189,"148479","uc001aob.4","PHF13"
190,"90326","uc001aoc.3,uc001aod.3,uc001aoe.2","THAP3"
191,"55735","uc001aof.2,uc001aog.2,uc010nzu.1","DNAJC11"
193,"100505887","uc031tnp.1,uc031tnq.1","LOC100505887"
194,"23261","uc001aoh.3,uc001aoi.3,uc001aoj.3,uc001aok.4,uc009vmf.3,uc010nzv.1,uc021ofq.1,uc021ofr.1","CAMTA1"
195,"9341","uc001aol.3","VAMP3"
196,"8863","uc001aon.3,uc001aoo.4,uc001aop.4,uc009vmh.2,uc010nzw.3,uc031tnr.1","PER3"
197,"10911","uc001aoq.3,uc001aor.3,uc001aos.3","UTS2"
199,"3604","uc001aot.3","TNFRSF9"
201,"11315","uc001aou.4,uc001aov.4,uc001aox.4","PARK7"
203,"54206","uc001aoz.3,uc001apa.1","ERRFI1"
205,"50651","uc001apb.3,uc001apc.3","SLC45A1"
207,"473","uc001apd.3,uc001ape.3,uc001apf.3,uc001aph.1,uc010nzx.1","RERE"
210,"2023","uc001api.2,uc001apj.2,uc009vml.2","ENO1"
211,"102465436","uc031tnx.1","MIR6728"
212,"2023","uc009vmm.4","ENO1"
213,"100505975","uc021oft.1","ENO1-AS1"
214,"765","uc001apm.4,uc009vmn.4,uc021ofu.2,uc031plc.1,uc031pld.1","CA6"
215,"155184","uc009vmo.1","SLC2A7"
216,"6518","uc001apo.3,uc001app.4,uc010nzy.2,uc010nzz.2,uc010oaa.2,uc010oac.2,uc021ofv.1","SLC2A5"
217,"80045","uc001apq.1,uc001apr.3,uc010oad.1","GPR157"
219,"407040","uc021ofw.1","MIR34A"
220,"9563","uc001apt.3,uc031tny.1","H6PD"
221,"80176","uc001apv.3,uc010oae.2","SPSB1"
222,"100506022","uc031tnz.1,uc031toa.1","LOC100506022"
225,"84275","uc001apw.3","SLC25A33"
226,"199953","uc001apy.3,uc021ofy.1,uc021ofz.1","TMEM201"
227,"5293","uc001aqa.2,uc001aqb.4,uc001aqe.4,uc010oaf.2,uc021ogb.1","PIK3CD"
228,"644997","uc001aqc.4","C1orf200"
230,"22883","uc001aqf.3,uc001aqh.3,uc001aqi.3,uc010oag.2","CLSTN1"
231,"56998","uc001aqk.1,uc001aql.1","CTNNBIP1"
232,"84328","uc001aqm.3,uc001aqo.3,uc009vmr.3,uc010oah.2","LZIC"
233,"64802","uc001aqp.3","NMNAT1"
234,"100847055","uc031toc.1","MIR5697"
235,"116362","uc001aqq.3,uc009vms.3","RBP7"
238,"10277","uc001aqr.4,uc001aqs.4,uc001aqu.3,uc010oai.2,uc010oaj.2,uc021ogc.1","UBE4B"
239,"23095","uc001aqv.4,uc001aqw.4,uc001aqx.4,uc001aqy.3,uc001aqz.3,uc001ara.3,uc001arb.3,uc009vmt.3","KIF1B"
240,"100422970","uc031tof.1","MIR1273D"
241,"26827","uc031tog.1","RNU6-1"
242,"5226","uc001arc.3,uc010oak.2","PGD"
243,"378708,100526739,1325","uc001are.3,uc001arf.3,uc001ari.4,uc021ogd.1,uc021ogf.1,uc021ogg.1,uc031ple.1","APITD1,APITD1-CORT,CORT"
244,"1676","uc001arj.3,uc001ark.3","DFFA"
245,"5195","uc001arl.3,uc001arm.1,uc001arn.4,uc009vmu.1,uc009vmv.4,uc009vmw.4,uc010oam.3,uc010oan.3","PEX14"
246,"54897","uc001aro.5,uc001arp.2,uc001arq.1,uc009vmx.2","CASZ1"
248,"148345","uc001arr.2,uc001ars.2,uc010oao.2","C1orf127"
249,"23435","uc001art.3,uc010oap.2","TARDBP"
250,"10747","uc001aru.3,uc001arv.3,uc001arw.3,uc001arx.2","MASP2"
251,"6723","uc001arz.1","SRM"
252,"5394","uc001asa.3,uc001asb.3,uc009vmy.1","EXOSC10"
253,"2475","uc001asc.3,uc001asd.3","MTOR"
254,"100873935","uc031plf.1","MTOR-AS1"
255,"10218","uc001ase.4","ANGPTL7"
258,"29914","uc001asg.3","UBIAD1"
260,"57540","uc001ash.4,uc001asi.1,uc009vmz.1","PTCHD2"
262,"101929181","uc031tol.1","LOC101929181"
263,"26232","uc001asj.3,uc009vna.3,uc009vnb.1","FBXO2"
264,"93611","uc001ask.3,uc001asl.3,uc001asm.3,uc001asn.3,uc010oaq.1,uc010oar.2,uc010oas.2","FBXO44"
265,"26270","uc001aso.3","FBXO6"
266,"10459","uc001asp.3,uc001asq.4,uc009vnc.3","MAD2L2"
267,"374946","uc001asr.1","DRAXIN"
269,"57085","uc001ast.3,uc001asu.3,uc001asv.3,uc001asw.3,uc001asx.3","AGTRAP"
272,"4524","uc001atb.1,uc001atc.2,uc001atd.1,uc009vnd.1,uc031plg.1","MTHFR"
273,"1185,100379251","uc001ate.5,uc009vne.2,uc009vnf.2,uc009vng.2,uc009vnh.2,uc010oat.3,uc010oau.3,uc010oav.1,uc010oaw.1,uc010oax.1,uc010oay.1,uc010oaz.1,uc010oba.1","CLCN6,NPPA-AS1"
274,"4878","uc001ati.3","NPPA"
275,"4879","uc001atj.3","NPPB"
277,"26829","uc031ton.1","RNU5E-1"
278,"90231","uc001atk.3,uc001atl.2","KIAA2013"
279,"5351","uc001atm.3,uc010obb.2","PLOD1"
280,"9927","uc001atn.4,uc009vni.3","MFN2"
282,"60672","uc001ato.2","MIIP"
283,"102466982","uc031top.1","MIR6729"
286,"943","uc001atq.3,uc001atr.4,uc001ats.4,uc010obc.2","TNFRSF8"
287,"7133,102465836","uc001att.3,uc001atu.3,uc009vnk.3,uc031tos.1","TNFRSF1B,MIR7846"
288,"100616438","uc021ogi.2","MIR4632"
290,"55187","uc001aty.1,uc031tou.1,uc031tov.1,uc031tow.1,uc031toy.1,uc031toz.1","VPS13D"
292,"677882","uc001atz.1","SNORA59B"
293,"9249,102466722","uc001aub.3,uc001aue.1,uc031tpa.1,uc031tpb.1,uc031tpc.1,uc031tpd.1","DHRS3,MIR6730"
294,"343066","uc001auf.3","AADACL4"
295,"126767","uc031tpe.1,uc031tpf.1","AADACL3"
296,"93190","uc001auh.3,uc010obe.1","C1orf158"
297,"390999","uc001aui.4","PRAMEF12"
298,"65121","uc031tpg.1","PRAMEF1"
299,"440560","uc031tph.1","PRAMEF11"
300,"343069","uc010obf.2","HNRNPCL1"
301,"65122","uc001aum.1","PRAMEF2"
302,"400735","uc001aun.2","PRAMEF4"
303,"343071","uc031tpi.1","PRAMEF10"
306,"441871","uc031tpl.1,uc031tpm.1","PRAMEF7"
307,"440561","uc031tpn.1","PRAMEF6"
308,"649330","uc031tpo.1","LOC649330"
309,"440563","uc010obg.2","HNRNPCL2"
310,"649330","uc031tpp.1","LOC649330"
315,"343068","uc001auu.1","PRAMEF5"
316,"391002","uc031tpu.1,uc031tpv.1","PRAMEF8"
320,"343070","uc001auw.1","PRAMEF9"
321,"400736","uc010obi.1","LOC400736"
322,"391003","uc009vnu.1","LOC391003"
324,"654348","uc009vnz.2","PRAMEF16"
327,"645425","uc009vnv.1","PRAMEF20"
329,"126755","uc001avb.3","LRRC38"
331,"10630","uc001avc.3,uc001avd.3,uc001ave.3,uc001avf.3,uc009vob.3,uc009voc.3","PDPN"
335,"7799","uc001avg.3,uc001avh.3,uc001avi.3,uc001avk.3,uc009voe.3,uc009vof.3,uc021ogk.1","PRDM2"
338,"23254","uc001avm.4,uc001avo.2,uc001avp.2,uc001avq.2,uc001avr.2,uc001avs.4,uc009vog.1,uc031tqj.1","KAZN"
340,"200197","uc001avv.4,uc009voh.3","TMEM51-AS1"
342,"55092","uc001avw.4,uc001avx.3,uc001avy.3,uc001avz.3,uc010obk.2","TMEM51"
343,"727684","uc031tqm.1,uc031tqn.1","C1orf195"
345,"114827","uc001awa.1,uc001awb.2,uc001awd.1,uc001awe.1,uc001awf.3,uc001awg.3,uc010obl.1","FHAD1"
347,"79180","uc001awh.2","EFHD2"
348,"11330","uc001awi.1,uc001awj.1","CTRC"
349,"63036","uc001awk.3","CELA2A"
350,"51032","uc001awl.3","CELA2B"
351,"842","uc001awm.2,uc001awn.4,uc001awo.4,uc001awp.4,uc009voi.4,uc010obm.3","CASP9"
352,"23341","uc001awr.2,uc001aws.4,uc001awt.4,uc001awu.3","DNAJC16"
353,"79814","uc001awv.2","AGMAT"
354,"84301","uc001aww.3,uc001awx.2","DDI2"
355,"84301,6248","uc009voj.2,uc010obn.2","DDI2,RSC1A1"
357,"23207","uc010obo.2","PLEKHM2"
359,"284723","uc001axb.1","SLC25A34"
360,"388595","uc001axc.4","TMEM82"
361,"54751","uc001axd.1,uc001axe.1,uc001axg.1,uc001axh.1,uc001axi.1","FBLIM1"
362,"440567","uc009vol.1","UQCRHL"
363,"729614","uc001axj.2","FLJ37453"
364,"23013","uc001axk.1,uc010obp.1","SPEN"
365,"100616427","uc031tqq.1","MIR5096"
366,"7709","uc001axl.4,uc009vom.1,uc009von.1,uc010obq.2,uc010obr.2,uc010obs.2,uc010obt.1,uc010obu.2,uc010obv.1","ZBTB17"
368,"149563","uc001axn.3","C1orf64"
369,"27129","uc001axo.2,uc001axp.2,uc001axq.2,uc001axr.2,uc001axs.2","HSPB7"
370,"1187,1188","uc001axt.3,uc001axu.3,uc001axv.3,uc001axx.5,uc001axy.5,uc010obw.2,uc010obx.1,uc010oby.1,uc021ogl.1","CLCNKA,CLCNKB"
371,"348487","uc001axz.4","FAM131C"
372,"1969","uc001aya.2,uc010oca.2","EPHA2"
373,"128272","uc001ayc.1,uc009voo.3","ARHGEF19"
374,"79363","uc001ayd.3","RSG1"
375,"54455","uc001ayf.3,uc001ayg.3,uc001ayh.3","FBXO42"
377,"26099","uc001ayi.5,uc001ayk.5,uc001aym.5,uc010ocb.2,uc031plh.1","SZRD1"
378,"374955","uc001ayl.1,uc001ayn.3,uc010occ.2","SPATA21"
379,"55707","uc001ayo.3,uc001ayq.3,uc010ocd.2,uc031tqs.1","NECAP2"
380,"114819","uc001ays.2,uc001ayt.2","CROCCP3"
381,"26863","uc031tqt.1","RNVU1-18"
388,"100500876","uc021ogu.1","MIR3675"
389,"55672","uc001ayw.4,uc001ayz.1,uc001aza.5,uc001azb.1,uc001azc.2,uc010oce.1","NBPF1"
390,"84809","uc001aze.3,uc001azf.3,uc001azg.1,uc009vov.2,uc010ocf.2","CROCCP2"
391,"11209","uc001azk.2,uc001azm.4,uc009vow.2,uc010ocg.1,uc010och.2,uc010oci.1","MST1P2"
392,"26863","uc031tqw.1","RNVU1-18"
393,"729574","uc031tqx.1","FAM231A"
396,"100500876","uc021ogy.1","MIR3675"
397,"284729","uc001azn.1,uc031tqy.1","ESPNP"
400,"729574","uc031tqz.1","FAM231A"
401,"9696","uc001azt.2,uc001azu.2,uc001azv.2,uc009voy.1,uc009voz.1","CROCC"
402,"26863","uc031tra.1","RNVU1-18"
403,"11223","uc010ock.3,uc031trb.1","MST1L"
405,"100500876","uc021ohc.1","MIR3675"
412,"26863","uc031trd.1","RNVU1-18"
413,"4237","uc001azw.3,uc001azx.3,uc001azy.3,uc010ocl.2","MFAP2"
414,"23400","uc001baa.2,uc001bab.2,uc001bac.2,uc001bad.1,uc009vpa.1","ATP13A2"
415,"6390","uc001bae.4","SDHB"
416,"11240","uc001baf.3,uc001bag.1,uc010ocm.2","PADI2"
417,"29943","uc001bah.1,uc010oco.1,uc010ocp.1,uc010ocq.1","PADI1"
418,"29943","uc009vpb.1","PADI1"
419,"51702","uc001bai.3","PADI3"
420,"100616188","uc031tre.1","MIR3972"
421,"23569","uc001baj.2,uc009vpc.2","PADI4"
422,"353238","uc031trf.1","PADI6"
423,"55920","uc001bal.3,uc001bam.3","RCC2"
425,"55160","uc001ban.3,uc001bao.3,uc001bap.3,uc001baq.3,uc001bar.3,uc001bas.3,uc009vpe.1,uc009vpf.3,uc010ocr.1,uc010ocs.2","ARHGEF10L"
426,"81569","uc001bat.3","ACTL8"
427,"84966","uc001bau.2,uc001bav.2","IGSF21"
