"gene_id","235-1_M_265","235-1_N_257","235-1_P_273","235-1_T_281","235_M_217","235_N_209","235_P_225","235_T_233","entrez_id","transcript_id","gene_symbol"
60,0,0,0,0,0,3,3.97,0,"8784","uc001ada.3,uc001adb.3,uc001adc.3,uc001add.3","TNFRSF18"
61,0,0,0,6,0,0,0,7.88,"7293","uc001ade.3,uc001adf.3","TNFRSF4"
62,36.47,12,10,38.02,13,56,142,113.05,"51150","uc001adg.3,uc001adh.4,uc001adi.4,uc001adj.1,uc009vjw.3","SDF4"
63,0,1,1,25,0,0,0,0,"126792","uc001adk.3","B3GALT6"
64,0,0,0,0,0,0,0,0,"388581","uc001adl.2","FAM132A"
65,9,1,27,9,3,1,0,3,"118424","uc001adm.5,uc001ado.3,uc001adp.3,uc001adq.3,uc001adr.3","UBE2J2"
66,11,0,0,0,0,18.28,0,0,"6339","uc001adt.1,uc001adu.1,uc001adv.2,uc001adw.2,uc001adx.2","SCNN1D"
67,3,0,4.1,1,0,0,41.01,1.02,"116983","uc001ady.2,uc001aea.2,uc001aeb.2,uc001aec.1","ACAP3"
68,0,0,0,0,0,0,0,0,"102465434","uc031tlz.1","MIR6726"
69,1,9,0,4,0,1,0,1.02,"126789","uc001aed.3,uc009vjx.3,uc010nyi.2","PUSL1"
70,89.64,61.05,101.13,216.41,74.66,71.75,174,117.92,"54973","uc001aee.2,uc001aef.2,uc001aeg.2,uc001aeh.2,uc001aei.2,uc001aek.2,uc001ael.3,uc001aen.2,uc009vjy.1,uc009vjz.2,uc010nyj.2","CPSF3L"
71,0,0,0,0,0,0,0,0,"102465435","uc031tma.1","MIR6727"
72,7,19,1,7,0,0,7.03,19,"80772","uc001aeo.3","CPTP"
73,0,0,0,11,0,0,1.98,0,"83756","uc010nyk.2","TAS1R3"
74,4,15.91,0,1,0,0,0,0,"1855,102466740","uc001aer.4,uc002quu.3,uc009vka.3,uc031tmb.1,uc031tmc.1","DVL1,MIR6808"
75,0,0,0,0,0,0,0,0,"54587","uc001aew.4,uc001aex.5,uc001aey.5,uc001aez.4,uc001afa.4,uc031tmd.1","MXRA8"
76,3,1,0,1,0,0,17.16,6,"54998","uc001afb.1,uc001afc.2,uc001afd.2,uc009vkb.1","AURKAIP1"
77,29,23,9,68.08,29.26,0,16.99,4,"81669","uc001afg.1,uc001afi.2,uc001afj.3,uc010nym.1,uc021oep.1","CCNL2"
78,10,0,2,4,0,0,0,11.93,"148413","uc001afm.3,uc009vkd.4","LOC148413"
79,9.91,9.38,21,17.43,24.87,10.03,25.38,14.98,"55052","uc001afo.4,uc010nyn.1","MRPL20"
80,0,0,1.01,0,0,0,1.02,0,"441869","uc001afp.3,uc001afq.3,uc010nyo.2","ANKRD65"
81,0,0,0,0,0,0,0,0,"643965","uc010nyp.2","TMEM88B"
82,0,0,0,0,0,0,0,0,"64856","uc001afr.3,uc001afs.3","VWA1"
83,17.73,7.96,3.59,69.46,21.83,13.99,7877.86,25.6,"219293","uc001aft.2","ATAD3C"
84,3.6,2,11.44,14,2.01,0,2.53,1,"83858","uc001afv.3,uc001afw.2,uc001afx.3,uc021oeq.1","ATAD3B"
85,0,0,0,0,8.32,0,0,0,"55210,NA","uc001afz.2,uc001aga.2,uc001agb.2,uc001agc.1","ATAD3A,NA"
86,0,0,0,0,0,0,0,0,NA,"uc031tme.1",NA
87,0,0,0,0,0,0,0,0,"339453","uc009vkf.3","TMEM240"
88,16.14,18.96,44.7,128.88,45.3,4,48.24,31.36,"29101","uc001agd.3,uc001age.1,uc009vkg.1","SSU72"
89,1,0,0,0,0,7,0,0,NA,"uc021oer.1",NA
90,0,0,0,0,0,0,0,0,"643988","uc021oes.1","C1orf233"
91,0,0,1,15,2.2,1.58,5.46,8.24,NA,"uc001agf.1",NA
92,2,0,4,4.06,1,0,12.97,1,"142678","uc001agg.3,uc001agh.3,uc001agi.3,uc001agj.3,uc001agk.3,uc001agl.2,uc001agm.3,uc001agn.3,uc001ago.3,uc009vkh.3,uc010nyq.2","MIB2"
93,0,0,0,0,0,0,0,0,"8510","uc001agp.3,uc001agq.3,uc001agr.3,uc009vki.3","MMP23B"
94,53.79,3.37,27.99,23.27,13.65,8.63,22.55,23.34,"984","uc001ahc.2,uc009vkj.2,uc031tmf.1,uc031tmg.1,uc031tmh.1,uc031tmi.1,uc031tmj.1,uc031tmk.1,uc031tml.1,uc031tmm.1,uc031tmn.1","CDK11B"
95,83.48,24.71,23.46,233.83,121.46,67.78,147.78,60.45,"728661","uc009vkl.2,uc009vkn.2,uc021oeu.1,uc031tmo.1,uc031tmp.1,uc031tmq.1,uc031tmr.1","SLC35E2B"
96,0,0,0,0,0,0,0,0,"8511","uc001ahi.1,uc009vko.1","MMP23A"
97,108.9,38.21,59.24,283.05,102.35,29.4,680.3,127.61,"728642","uc001ahj.4,uc001ahu.1,uc001ahv.1,uc001ahw.2,uc009vkp.3,uc009vkq.3,uc009vkr.3,uc009vks.3,uc009vkt.1,uc009vku.1,uc009vkv.1,uc010nys.2,uc010nyt.1,uc010nyu.1,uc031tms.1,uc031tmt.1","CDK11A"
98,4.11,3.5,2.76,18.64,23.85,5.96,18.95,1.52,NA,"uc001ahx.3",NA
99,89.45,23.77,17.06,102.08,124.61,41.53,710.99,48.08,"9906","uc001ahy.3,uc001aia.2","SLC35E2"
100,44,25.88,45.03,5,5,13.02,33.04,0,"65220","uc001aic.3,uc001aid.4,uc001aie.3,uc009vkx.1,uc010nyv.2","NADK"
101,11.9,13,15.01,64,31,31,45.03,24.36,"2782","uc001aif.4,uc009vky.4,uc031tmu.1","GNB1"
102,0,0,0,0,0,0,0,0,"163688","uc001aih.1","CALML6"
103,0,0,0,0,0,0,0,0,"339456","uc001aii.2,uc001aij.2","TMEM52"
104,0,0,0,0,0,0,0,0,NA,"uc001aik.3,uc001ail.3",NA
105,23.09,24.01,3.66,70.49,13.48,12.26,68.85,23.92,"85452","uc001aim.1,uc001ain.1,uc009vkz.1","CFAP74"
106,3.8,2.49,4.18,26.29,7.96,2.12,33.9,4.32,NA,"uc001aio.1",NA
107,0,0,0,0,0,0,0,0,"2563","uc001aip.2","GABRD"
108,2,2.02,0,10.91,0,0,0,1.82,"5590","uc001aiq.3,uc001air.3,uc001ais.3,uc001ait.3,uc009vlb.3,uc010nyw.2,uc010nyx.2","PRKCZ"
109,0,0,4,12.96,11,1,2.35,0.96,NA,"uc001aiu.1",NA
110,24.68,21.95,3.31,80.69,24.67,15.34,90.43,19.36,"199990","uc001aiv.3,uc001aiw.3,uc001aix.2,uc001aiy.3,uc031pkt.1,uc031pku.1,uc031pkv.1,uc031tmv.1,uc031tmw.1","C1orf86"
111,1.05,5.81,0.97,6.48,5.56,2.02,1,1,NA,"uc001aiz.3",NA
112,37,20,9,96.33,9.22,19.98,14.15,35,"6497","uc001aja.4","SKI"
113,0,1,0,0,0,0,1.45,0,"79906","uc001ajb.1,uc001ajd.1,uc009vld.3","MORN1"
114,0,9,0,7,0,0,0,0,"100129534","uc001ajc.4","LOC100129534"
115,0,0,0,0,0,0,1.55,0,"79906","uc010nyy.2","MORN1"
116,13.8,2.93,0,12,1,0,30.01,0,"11079","uc001aje.2,uc001ajf.2","RER1"
117,0,4.07,14,10,0,0,0,0,"5192","uc001ajg.3,uc001ajh.3","PEX10"
118,2.26,2.36,2.5,21.64,6.02,0,0.5,3.33,"9651","uc001aji.1,uc001ajj.1,uc001ajk.1,uc001ajl.1,uc009vle.1,uc010nyz.2","PLCH2"
119,21.88,34.5,1,68.52,17.05,34.5,33,58.72,"55229","uc001ajm.1,uc010nza.1","PANK4"
120,0,0,0,0,0,0,0,0,"388585","uc001ajn.3","HES5"
121,4,0.5,0,0.5,0,1.5,0,0.63,"115110","uc001ajo.2,uc001ajp.2,uc001ajq.2","LOC115110"
122,2.21,1.79,2.11,18.27,2.91,9.36,0.44,19.76,"100133445","uc021oev.1",NA
123,1.95,30.24,6.42,50.95,3.21,8.12,34.85,46.94,"8764","uc001ajt.1","TNFRSF14"
124,11.34,9.67,33.63,67.78,9.59,12.54,53.58,24.71,"8764","uc001ajr.3,uc009vlf.1,uc010nzc.1","TNFRSF14"
