"gene_id","235-1_M_265","235-1_N_257","235-1_P_273","235-1_T_281","235_M_217","235_N_209","235_P_225","235_T_233","entrez_id","transcript_id","gene_symbol"
42970,0,0,0,0,0,0,0,0,NA,"uc033bir.1",NA
42971,19.96,19.58,21.24,42.77,15.2,3.24,29.66,30.95,"6867","uc003xlz.3,uc003xma.3,uc003xmb.4,uc003xmc.4,uc003xmd.1,uc003xme.1,uc003xmf.4,uc003xmh.4,uc010lwo.1,uc010lwp.3,uc010lwq.3,uc011lby.1,uc011lbz.2,uc011lca.2,uc011lcb.2,uc011lcc.2,uc011lcd.2","TACC1"
42972,8.06,6.95,18.4,15.35,19.73,20.59,23.2,11.91,"59339","uc033bis.1,uc033bit.1","PLEKHA2"
42973,8.79,4.16,3.88,20.58,20.68,10.12,11.07,8.27,"203100","uc003xmj.3","HTRA4"
42974,0.58,4.32,0,7.25,0,1.46,0.24,0.98,"83877","uc003xmk.3,uc003xml.3,uc003xmm.3,uc003xmn.3","TM2D2"
42975,5.48,0,0.69,0,0,0,0,0,"8754","uc003xmp.3,uc003xmr.3,uc010lwr.3,uc011lcf.2,uc011lcg.2","ADAM9"
42976,0,0,0,0,0,0,0,0,NA,"uc022aue.1",NA
42977,0,0,0,0,0,0,0,0,"203102","uc003xmt.4,uc003xmu.4,uc003xmv.3,uc011lch.2","ADAM32"
42978,0,0,0,0,0,0,0,0,NA,"uc033biu.1",NA
42979,0,0,0,0,0,0,0,0,"255926","uc003xmw.3,uc003xmx.1,uc003xmy.1,uc003xmz.1,uc003xna.3,uc003xnb.3,uc003xnc.3,uc010lws.1,uc010lwt.1,uc010lwu.1","ADAM5"
42980,0,0,0,0,0,0,0,0,NA,"uc033biv.1",NA
42981,0,0,2.95,0,0,0,0.36,0,"1587","uc003xnd.4,uc003xne.4,uc003xnf.4,uc003xng.6,uc010lwv.3,uc011lci.3,uc011lcj.2","ADAM3A"
42982,0,0,0,0,0,0,0,0,"100130964","uc031tav.1","LOC100130964"
42983,0,0,0,0,0,0,0,0,NA,"uc033biw.1",NA
42984,0,0,0,0,0,0,0,0,"8749","uc003xnh.3,uc003xni.3,uc010lww.3,uc010lwx.3","ADAM18"
42985,0,0,0,0,0,0,0,0,"2515","uc003xnj.4,uc003xnk.4,uc003xnl.4,uc011lck.3","ADAM2"
42986,19.14,17.7,6.08,18.31,16.31,8.74,5.33,7.4,"3620","uc003xnm.4","IDO1"
