cellID,IgM,IgD,IgG,IgE,IgA
26r208,55,0,1,0,0
26r209,0,0,0,0,0
26r210,5,0,0,0,0
26r211,0,0,0,0,1
26r212,0,0,0,0,0
26r213,0,0,0,0,0
26r214,0,0,0,0,0
26r215,54,0,0,0,0
26r216,1,0,0,0,0
26r217,0,0,0,0,0
26r218,0,0,0,0,0
26r219,44,32,68,0,0
26r220,2,0,0,0,0
26r221,35,24,0,0,1
26r222,38,0,0,0,0
26r223,1,0,237,0,41
26r224,0,1,0,0,0
26r225,0,0,0,0,0
26r226,228,3,163,0,13
26r227,22,0,0,0,0
26r228,8,0,0,0,1
26r229,0,0,7,0,0
26r230,0,0,0,0,1
26r231,0,0,0,0,27
26r232,0,0,0,0,1
26r233,0,0,18,0,0
26r234,20,247,0,0,1
26r235,0,0,0,0,0
26r236,93,0,0,0,0
26r237,0,0,0,0,0
26r238,19,0,0,0,10
26r239,0,0,0,0,0
26r240,13,0,0,0,0
26r241,1,0,1,0,264
26r242,0,0,0,0,0
26r243,0,0,0,0,0
26r244,0,0,0,0,0
26r245,30,0,0,0,0
26r246,0,0,0,0,0
26r247,124,73,0,0,0
26r248,0,0,0,0,0
26r249,3,0,0,0,0
26r250,0,0,0,0,0
26r251,0,0,0,0,0
26r252,1,0,1,0,8
26r253,44,33,185,0,0
26r254,62,0,0,0,0
26r255,0,0,0,0,0
26r256,108,43,0,0,0
26r257,0,0,1,0,0
26r258,1,165,3,0,0
26r259,79,0,0,0,0
26r260,0,0,0,0,0
26r261,0,0,0,0,0
26r262,0,0,0,0,0
26r263,0,0,0,0,0
26r264,0,0,0,0,0
26r265,0,0,0,0,1
26r266,32,0,0,0,0
26r267,0,1,0,0,0
26r268,0,0,0,0,0
26r269,63,0,0,0,0
26r270,36,0,0,0,433
26r271,158,0,2,0,0
26r272,2,0,0,0,1
26r273,67,0,0,0,0
26r274,0,0,0,0,0
26r275,0,299,0,0,0
26r276,347,83,0,0,0
26r277,41,0,0,0,0
26r278,0,0,0,0,0
26r279,1,0,0,0,0
26r280,54,4,0,0,0
26r281,28,58,1,0,1
26r282,79,59,0,0,0
26r283,0,0,0,11,105
26r284,28,0,63,0,19
26r285,6,0,0,0,1
26r286,0,0,0,0,2
26r288,30,0,0,0,0
26r289,188,0,1,0,2
26r290,0,0,0,0,0
26r291,49,0,0,0,0
26r292,0,4,0,0,0
26r293,4,1,0,0,0
26r294,0,0,0,0,0
26r296,41,0,0,0,1
26r297,0,0,7,0,0
26r298,12,0,0,0,0
26r299,60,0,0,0,0
26r300,0,0,0,0,6
26r301,108,0,0,0,0
26r302,13,76,1,0,0
26r304,0,0,0,0,1
26r305,0,0,0,0,0
26r306,0,0,0,0,0
26r307,0,0,0,0,0
26r308,0,0,0,0,0
26r309,0,0,0,0,0
26r310,0,0,0,0,2
26r311,0,0,0,0,0
26r312,0,0,0,0,0
26r313,0,0,0,0,0
26r314,0,0,0,0,15
26r315,0,0,0,0,0
26r316,0,0,0,0,3
26r317,0,0,0,0,0
26r318,0,0,0,0,40
26r319,0,0,0,0,0
26r320,0,0,0,0,0
26r321,0,15,0,0,0
26r322,0,0,0,0,0
26r323,49,0,0,0,0
26r324,0,0,0,0,0
26r325,1,8,2,0,0
26r326,1,0,0,0,0
26r327,0,0,0,0,0
26r328,0,0,0,0,0
26r329,0,0,0,0,13
26r330,0,0,0,0,0
26r331,0,0,0,0,0
26r332,0,0,0,0,0
26r333,0,0,0,0,0
26r334,0,0,0,0,0
26r335,0,0,0,0,0
26r336,0,0,0,0,2
26r337,0,0,0,0,0
26r338,0,0,0,0,0
26r339,0,0,0,0,0
26r340,0,9,2,0,0
26r341,0,0,0,0,0
26r342,100,8,19,0,0
26r343,0,0,1,0,1
26r344,71,0,0,0,0
26r345,0,0,0,0,0
26r346,0,0,0,0,0
26r347,13,0,0,0,0
26r348,0,0,0,0,570
26r349,4,1,1,0,0
26r350,0,0,1,0,0
26r351,57,54,0,0,0
26r352,0,0,0,0,0
26r353,0,0,0,0,0
26r354,0,0,0,0,0
26r355,0,0,0,0,0
26r356,0,0,0,0,0
26r357,1,0,3,0,0
26r358,0,49,0,0,0
26r359,0,0,0,0,0
26r360,0,0,0,0,0
26r361,0,0,0,0,0
26r362,4,0,0,0,0
26r363,0,0,0,0,0
26r364,1,16,0,0,2
26r365,0,18,0,0,0
26r366,11,0,0,0,0
26r367,59,0,0,0,0
26r368,11,0,0,0,0
26r369,26,51,0,0,0
26r370,22,0,1,0,0
26r371,6,0,0,0,27
26r372,0,10,0,0,0
26r373,0,0,0,0,2
26r374,0,0,0,0,0
26r375,0,0,0,0,0
26r376,1,0,0,0,0
26r377,0,0,0,0,0
26r378,0,0,0,0,0
26r379,0,0,0,0,0
26r380,0,0,0,0,0
26r381,0,0,0,0,0
26r382,95,1,0,0,1
26r384,20,0,0,0,0
26r385,0,0,0,0,0
26r386,0,0,0,0,0
26r387,0,0,1,0,0
26r388,34,170,0,0,0
26r389,26,0,15,0,0
26r390,0,0,0,0,0
26r392,38,15,0,0,1
26r393,0,0,0,0,0
26r394,0,0,0,0,1
26r395,0,0,0,0,0
26r396,27,1,0,0,0
26r397,0,0,0,0,0
26r398,5,0,0,0,0
