cellID,IgM,IgD,IgG,IgE,IgA
4r208,86,0,0,0,0
4r209,0,0,0,0,0
4r210,1,0,0,0,1
4r211,0,0,0,0,0
4r212,0,0,0,0,0
4r213,0,0,0,0,0
4r214,0,0,0,0,0
4r215,0,0,0,0,1
4r216,0,0,0,0,0
4r217,0,0,0,0,0
4r218,0,1,0,0,0
4r219,0,0,0,0,0
4r220,0,0,0,1,1
4r221,0,0,0,0,0
4r222,2,0,0,0,0
4r223,0,0,0,0,0
4r224,0,0,0,0,0
4r225,0,0,0,0,0
4r226,0,0,0,0,0
4r227,1,0,1,0,0
4r228,0,0,1,0,0
4r229,0,0,0,0,0
4r230,0,0,2,0,0
4r231,0,0,0,0,0
4r232,0,0,0,0,0
4r233,5,0,0,0,0
4r234,1,0,1,0,0
4r235,0,0,0,0,3
4r236,0,0,0,0,0
4r237,0,0,0,0,0
4r238,0,0,0,0,0
4r239,1,0,0,0,0
4r240,1,0,0,0,0
4r241,3,0,0,0,0
4r242,0,0,1,0,0
4r243,0,0,0,0,18
4r244,0,0,0,0,0
4r245,0,0,0,0,0
4r246,0,0,0,0,0
4r247,1,0,0,0,11
4r248,0,0,57,0,0
4r249,1,0,0,6,0
4r250,0,0,0,0,0
4r251,0,0,4,0,0
4r252,0,0,0,0,0
4r253,0,0,0,0,0
4r254,0,0,0,0,0
4r255,0,0,0,0,0
4r256,4,0,0,0,0
4r257,7,0,0,0,0
4r258,1,0,0,0,0
4r259,0,0,8,0,0
4r260,0,0,0,0,0
4r261,0,0,2,0,0
4r262,0,0,0,0,1
4r263,0,0,0,0,0
4r264,0,0,0,0,0
4r265,0,0,14,0,0
4r266,0,0,0,0,0
4r267,0,0,0,0,16
4r268,0,0,0,0,0
4r269,1,19,0,0,0
4r270,0,0,0,0,0
4r271,0,0,0,0,0
4r272,0,0,0,0,0
4r273,0,0,0,0,0
4r274,0,0,0,0,1
4r275,0,0,0,0,0
4r276,36,14,1,0,1
4r277,58,1,0,0,0
4r278,0,0,0,0,0
4r279,0,0,0,0,0
4r280,0,0,0,0,0
4r281,0,1,50,0,0
4r282,0,0,0,0,0
4r283,0,15,0,0,0
4r284,0,1,1,0,0
4r285,5,26,0,0,0
4r286,0,0,0,0,0
4r287,0,0,0,0,0
4r288,1,0,0,0,0
4r289,67,0,19,0,0
4r290,0,0,0,0,0
4r291,1,0,5,0,0
4r292,1,0,1,0,0
4r293,1,0,0,0,0
4r294,0,0,0,0,0
4r295,0,0,4,0,0
4r296,0,0,0,0,0
4r297,3,0,1,0,0
4r298,0,0,0,0,0
4r299,30,0,0,0,0
4r300,0,0,0,0,0
4r301,0,0,0,0,0
4r302,0,0,0,0,0
4r303,0,0,0,0,0
4r304,0,11,0,0,0
4r305,0,0,0,0,0
4r306,0,0,0,0,0
4r307,0,0,0,0,0
4r308,0,0,0,0,0
4r309,0,0,0,0,0
4r310,0,0,0,0,0
4r311,0,0,0,0,0
4r312,0,0,0,0,0
4r313,0,0,1,0,0
4r314,0,0,0,0,0
4r315,0,0,0,0,0
4r316,0,0,0,0,0
4r317,0,0,0,0,0
4r318,0,0,0,0,0
4r319,0,0,0,0,0
4r320,0,0,0,0,0
4r321,0,0,0,0,0
4r322,0,0,0,0,0
4r323,0,0,0,0,0
4r324,0,0,0,0,0
4r325,0,0,0,0,0
4r326,0,0,0,0,0
4r327,0,0,0,0,0
4r328,0,0,0,0,0
4r329,0,0,0,0,0
4r330,0,0,0,0,0
4r331,0,0,0,0,0
4r332,0,0,0,0,0
4r333,0,0,0,0,0
4r334,0,0,0,0,0
4r335,0,0,0,0,0
4r336,0,0,0,0,0
4r337,0,0,0,0,0
4r338,0,0,0,0,0
4r339,0,0,4,0,0
4r340,0,0,0,0,0
4r341,0,0,0,0,0
4r342,0,0,0,0,0
4r343,0,0,0,0,0
4r344,0,0,10,0,0
4r345,1,0,0,0,0
4r346,0,1,0,0,0
4r347,0,0,0,0,0
4r348,0,0,0,0,0
4r349,0,0,0,0,0
4r350,0,0,0,0,0
4r351,1,0,0,0,0
4r352,0,0,0,0,0
4r353,0,0,0,0,0
4r354,0,0,0,0,0
4r355,0,0,0,0,0
4r356,0,0,0,0,0
4r357,0,0,0,0,0
4r358,0,0,0,0,0
4r359,0,0,0,0,0
4r360,0,0,0,0,0
4r361,0,0,0,0,0
4r362,0,0,0,0,0
4r363,0,0,0,0,0
4r364,0,0,0,0,0
4r365,0,0,0,0,0
4r366,0,0,0,0,0
4r367,0,0,0,0,0
4r368,0,0,0,0,0
4r369,0,0,0,0,0
4r370,0,0,0,0,0
4r371,0,0,0,0,0
4r372,0,0,0,0,0
4r373,0,0,0,0,0
4r374,0,0,0,0,0
4r375,0,0,0,0,0
4r376,1,0,1,0,0
4r377,0,0,0,0,0
4r378,0,0,0,0,0
4r379,0,0,0,0,0
4r380,0,0,1,0,0
4r381,0,0,0,0,0
4r382,0,0,0,0,0
4r383,0,0,0,0,0
4r384,0,0,0,0,0
4r385,0,0,0,0,0
4r386,0,0,0,0,0
4r387,0,0,0,0,0
4r388,0,0,0,0,0
4r389,0,0,0,0,0
4r390,0,0,0,0,0
4r391,1,0,1,0,0
4r392,0,0,0,0,0
4r393,0,0,0,0,0
4r394,0,0,0,0,0
4r395,0,0,0,0,0
