cellID,IgM,IgD,IgG,IgE,IgA
72r208,0,0,0,0,0
72r209,0,0,4,0,0
72r210,0,0,0,0,0
72r211,0,0,0,0,0
72r212,0,0,0,0,0
72r213,0,0,0,0,0
72r214,0,0,0,0,0
72r215,0,0,0,0,0
72r216,0,0,0,0,0
72r217,0,0,0,0,0
72r218,0,0,0,0,0
72r219,0,0,0,0,0
72r220,0,0,0,0,0
72r221,0,0,0,0,0
72r222,0,0,0,0,0
72r223,0,0,2,0,0
72r224,0,0,0,0,0
72r225,0,0,0,0,0
72r226,0,0,0,0,0
72r227,0,0,6,0,0
72r228,0,0,0,0,0
72r229,0,0,1,0,0
72r230,0,0,0,0,0
72r231,0,0,0,0,0
72r232,0,0,0,0,0
72r233,0,0,0,0,0
72r234,0,0,0,0,0
72r235,0,0,0,0,0
72r236,0,0,0,0,0
72r237,0,0,0,0,0
72r238,0,0,0,0,0
72r239,0,0,0,0,0
72r240,0,0,0,0,0
72r241,0,0,0,0,0
72r242,0,0,0,0,0
72r243,0,0,0,0,0
72r244,0,0,0,0,0
72r245,0,0,0,0,0
72r246,0,0,0,0,0
72r247,0,0,8,0,0
72r248,0,0,0,0,0
72r249,0,0,0,0,0
72r250,0,0,0,0,0
72r251,0,0,1,0,0
72r252,0,0,0,0,0
72r253,0,0,0,0,0
72r254,0,0,0,0,0
72r255,0,0,0,0,0
72r256,0,0,0,0,0
72r257,0,0,0,0,0
72r258,0,0,0,0,0
72r259,0,0,0,0,0
72r260,0,0,0,0,0
72r261,0,0,0,0,0
72r262,0,0,0,0,0
72r263,0,0,12,0,0
72r264,0,0,0,0,0
72r265,0,0,0,0,0
72r266,0,0,0,0,0
72r267,0,0,0,0,0
72r268,0,0,0,0,0
72r269,0,0,0,0,0
72r270,0,0,0,0,0
72r271,0,0,2,0,0
72r272,0,0,7,0,0
72r273,0,0,0,0,0
72r274,0,0,0,0,0
72r275,0,0,0,0,0
72r276,0,0,0,0,0
72r277,0,0,0,0,0
72r278,0,0,0,0,0
72r279,0,0,0,0,0
72r280,0,0,0,0,0
72r281,0,0,0,0,0
72r282,0,0,0,0,0
72r283,0,0,0,0,0
72r284,0,0,0,0,0
72r285,0,0,0,0,0
72r286,0,0,0,0,0
72r288,0,0,0,0,0
72r289,0,0,0,0,0
72r290,0,0,0,0,0
72r291,0,0,0,0,0
72r292,0,0,0,0,0
72r293,0,0,0,0,0
72r294,0,0,0,0,0
72r296,0,0,0,0,0
72r297,0,0,0,0,0
72r298,0,0,0,0,0
72r299,0,0,0,0,0
72r300,0,0,0,0,0
72r301,0,0,0,0,0
72r302,0,0,2,0,0
72r304,0,0,0,0,0
72r305,0,0,0,0,0
72r306,0,0,0,0,0
72r307,0,0,0,0,0
72r308,0,0,0,0,0
72r309,0,0,0,0,0
72r310,0,0,0,0,0
72r311,0,0,0,0,0
72r312,0,0,0,0,0
72r313,0,0,0,0,0
72r314,0,0,0,0,0
72r315,0,0,0,0,0
72r316,0,0,0,0,0
72r317,0,0,0,0,0
72r318,0,0,3,0,0
72r319,0,0,0,0,0
72r320,0,0,0,0,0
72r321,0,0,0,0,0
72r322,0,0,0,0,0
72r323,0,0,0,0,0
72r324,0,0,0,0,0
72r325,0,0,0,0,0
72r326,0,0,0,0,0
72r327,0,0,0,0,0
72r328,0,0,0,0,0
72r329,0,0,8,0,0
72r330,0,0,0,0,0
72r331,0,0,0,0,0
72r332,0,0,0,0,0
72r333,0,0,0,0,0
72r334,0,0,0,0,0
72r335,0,0,0,0,0
72r336,0,0,0,0,0
72r337,0,0,0,0,0
72r338,0,0,0,0,0
72r339,0,0,0,0,0
72r340,0,0,0,0,0
72r341,0,0,0,0,0
72r342,0,0,0,0,0
72r343,0,0,0,0,0
72r344,0,0,0,0,0
72r345,0,0,0,0,0
72r346,0,0,0,0,0
72r347,0,0,0,0,0
72r348,0,0,0,0,0
72r349,1,0,0,0,0
72r350,0,0,12,0,0
72r351,0,0,0,0,0
72r352,0,0,0,0,0
72r353,0,0,0,0,0
72r354,0,0,0,0,0
72r355,0,0,0,0,0
72r356,0,0,0,0,0
72r357,0,0,1,0,0
72r358,0,0,0,0,0
72r359,0,0,0,0,0
72r360,0,0,0,0,0
72r361,0,0,0,0,0
72r362,0,0,0,0,0
72r363,0,0,0,0,0
72r364,0,0,0,0,0
72r365,0,0,0,0,0
72r366,0,0,0,0,0
72r367,0,0,0,0,0
72r368,0,0,0,0,0
72r369,0,0,0,0,0
72r370,0,0,0,0,0
72r371,0,0,0,0,0
72r372,0,0,0,0,0
72r373,0,0,0,0,0
72r374,0,0,0,0,0
72r375,0,0,0,0,0
72r376,0,0,0,0,0
72r377,0,0,0,0,0
72r378,0,0,0,0,0
72r379,0,0,0,0,0
72r380,0,0,0,0,0
72r381,0,0,0,0,0
72r382,0,0,0,0,0
72r384,0,0,2,0,0
72r385,0,0,0,0,0
72r386,0,0,0,0,0
72r387,0,0,0,0,0
72r388,0,0,0,0,0
72r389,0,0,0,0,0
72r390,0,0,0,0,0
72r392,0,0,0,0,0
72r393,0,0,0,0,0
72r394,0,0,0,0,0
72r395,0,0,0,0,0
72r396,0,0,0,0,0
72r397,0,0,0,0,0
72r398,0,0,0,0,0
