cellID,IgM,IgD,IgG,IgE,IgA
26c208,1,0,0,109,12
26c209,0,0,0,0,0
26c210,8,0,0,0,0
26c211,0,0,0,0,0
26c212,0,0,0,0,1
26c213,0,0,0,0,0
26c214,0,0,0,0,0
26c215,0,0,0,0,3
26c216,0,0,0,0,0
26c217,0,0,0,0,0
26c218,1,0,0,0,9
26c219,1,0,0,0,1
26c220,2,0,0,0,10
26c221,0,0,0,0,0
26c222,0,0,0,0,1
26c223,0,2,0,0,500
26c224,0,0,0,0,1
26c225,0,0,0,0,1
26c226,3,9,12,0,7
26c227,0,0,0,0,1
26c228,0,1,0,0,2
26c229,0,0,0,0,0
26c230,0,19,0,0,0
26c231,0,0,0,0,4
26c232,0,0,0,0,61
26c233,0,0,0,0,8
26c234,0,0,0,0,2
26c235,0,0,19,0,3
26c236,0,0,0,0,22
26c237,0,0,0,0,0
26c238,0,0,0,0,0
26c239,0,0,0,0,0
26c240,0,0,0,0,9
26c241,8,0,1,0,6
26c242,0,1,0,0,0
26c243,0,0,0,0,5
26c244,0,0,10,0,317
26c245,1,0,1,0,25
26c246,0,0,8,0,0
26c247,0,0,0,0,1
26c248,13,0,0,0,102
26c249,56,0,0,0,8
26c250,0,0,0,0,6
26c251,4,0,0,0,3
26c252,0,6,0,0,7
26c253,0,0,0,0,2
26c254,0,0,0,0,0
26c255,0,0,3,0,6
26c256,5,53,0,0,2
26c257,4,0,0,0,0
26c258,47,1,0,0,47
26c259,0,1,0,0,0
26c260,1,0,0,0,1
26c261,0,0,0,0,64
26c262,0,0,0,0,0
26c263,0,0,0,0,0
26c264,0,0,0,0,1
26c265,0,0,0,11,349
26c266,0,0,0,0,1
26c267,0,0,0,0,0
26c268,0,0,0,0,30
26c269,3,0,0,0,0
26c270,0,0,1,0,122
26c271,0,0,0,0,0
26c272,2,0,0,0,1
26c273,0,0,0,0,37
26c274,46,24,0,0,2
26c275,0,0,0,0,1490
26c276,5,0,0,0,48
26c277,0,0,57,0,7802
26c278,0,0,0,0,0
26c279,0,0,0,0,5
26c280,17,0,0,0,5
26c281,0,0,0,0,1
26c282,0,0,0,0,1
26c283,422,0,0,0,4
26c284,1,0,0,0,0
26c285,1,1,0,0,2
26c286,0,0,0,0,0
26c288,0,0,0,0,1845
26c289,2,0,0,0,21
26c290,7,0,2,0,12
26c291,0,0,0,0,0
26c292,0,1,0,0,1
26c293,0,0,0,0,3
26c294,0,3,0,0,1
26c296,6,0,0,0,0
26c297,0,0,0,0,0
26c298,0,0,0,0,0
26c299,3,0,2,0,17
26c300,0,0,2,0,111
26c301,0,0,0,0,0
26c302,0,0,0,0,7
26c304,0,0,0,0,0
26c305,0,0,0,0,0
26c306,10,0,0,0,1
26c307,0,0,0,0,0
26c308,0,0,0,0,0
26c309,0,0,0,0,1
26c310,29,0,0,0,0
26c311,0,0,0,0,0
26c312,0,0,0,0,0
26c313,0,0,0,0,0
26c314,0,80,0,0,1
26c315,0,0,0,0,0
26c316,0,0,0,0,5
26c317,6,0,0,0,3
26c318,0,0,8,0,227
26c319,0,0,0,0,43
26c320,1,0,0,0,1509
26c321,0,0,0,0,11746
26c322,0,0,0,0,7
26c323,0,40,0,0,3
26c324,0,0,0,0,1
26c325,1,0,0,0,1
26c326,0,0,0,0,65
26c327,0,0,0,0,0
26c328,0,0,0,0,0
26c329,27,0,0,0,10
26c330,0,0,0,0,0
26c331,0,0,0,0,7
26c332,0,0,0,0,143
26c333,0,0,0,0,2
26c334,0,0,0,0,37
26c335,0,0,0,0,1
26c336,0,0,0,0,16
26c337,0,0,0,0,0
26c338,0,0,145,0,0
26c339,0,0,0,0,56
26c340,0,0,0,0,3
26c341,0,0,0,0,0
26c342,1,0,0,0,0
26c343,0,0,0,0,4
26c344,107,0,0,0,2
26c345,0,0,0,0,2
26c346,0,0,0,0,0
26c347,0,171,0,0,2
26c348,0,0,0,0,0
26c349,0,0,0,0,0
26c350,5,0,0,0,0
26c351,0,0,0,0,603
26c352,0,0,0,0,16
26c353,0,0,6,0,235
26c354,0,0,0,0,29
26c355,0,0,7,0,0
26c356,0,0,0,0,0
26c357,0,0,0,0,258
26c358,0,0,0,0,0
26c359,0,0,0,0,0
26c360,13,0,0,0,1
26c361,0,0,0,0,0
26c362,0,0,0,0,33
26c363,76,0,110,0,20
26c364,131,96,1,0,3
26c365,0,0,0,0,1
26c366,0,0,0,0,0
26c367,0,0,0,0,2
26c368,37,0,0,0,1
26c369,60,100,0,0,6
26c370,54,0,0,0,8
26c371,0,0,0,0,0
26c372,230,0,0,0,3
26c373,0,0,0,0,33
26c374,0,0,94,0,3
26c375,3,0,14,0,8099
26c376,3,0,1,0,2729
26c377,0,0,0,0,11
26c378,0,0,0,0,34
26c379,146,0,59,0,10
26c380,0,0,0,0,3352
26c381,0,0,0,0,2
26c382,190,0,0,0,10
26c384,0,0,0,0,36
26c385,0,0,0,0,2
26c386,0,0,130,0,0
26c387,0,0,0,0,0
26c388,355,0,33,0,9
26c389,0,0,0,0,10
26c390,0,0,0,0,2
26c392,134,21,0,0,1
26c393,0,0,0,0,3
26c394,0,0,0,0,0
26c395,0,1,0,0,3
26c396,0,0,0,0,2
26c397,0,0,0,0,1
26c398,82,0,0,0,18
