cellID,IgM,IgD,IgG,IgE,IgA
72a208,486,0,0,0,0
72a209,0,0,0,0,0
72a210,53,0,0,0,0
72a211,1,2,0,0,0
72a212,5,0,0,0,0
72a213,0,0,0,0,0
72a214,0,0,0,0,0
72a215,0,0,0,0,0
72a216,0,0,0,0,0
72a217,0,0,0,0,0
72a218,4,0,0,0,0
72a219,0,0,0,0,562
72a220,2,0,0,0,0
72a221,4,0,0,0,0
72a222,2,0,0,0,0
72a223,76,84,1,0,0
72a224,2,0,0,0,0
72a225,0,0,0,0,0
72a226,286,1,40,0,78
72a227,0,0,0,0,0
72a228,0,13,181,0,0
72a229,1,0,0,0,0
72a230,107,0,0,0,0
72a231,71,0,0,0,0
72a232,0,0,0,0,0
72a233,0,0,3,0,0
72a234,0,0,0,0,0
72a235,1,0,0,0,0
72a236,0,0,0,0,0
72a237,246,0,0,0,0
72a238,0,0,0,0,0
72a239,0,0,0,0,0
72a240,0,0,0,0,0
72a241,0,1,0,0,0
72a242,1,0,0,0,59
72a243,101,0,0,0,0
72a244,4,0,0,0,0
72a245,0,0,0,0,0
72a246,0,0,0,0,0
72a247,201,0,0,0,0
72a248,0,0,2,0,0
72a249,102,0,0,0,0
72a250,0,0,0,0,0
72a251,0,0,0,0,0
72a252,18,0,0,0,0
72a253,0,0,133,0,0
72a254,0,0,0,0,0
72a255,0,0,0,0,0
72a256,140,131,0,0,0
72a257,359,0,0,0,0
72a258,0,1,0,0,0
72a259,0,0,0,0,0
72a260,49,0,0,0,0
72a261,0,0,0,0,0
72a262,0,0,0,0,0
72a263,0,0,0,0,0
72a264,0,0,0,0,0
72a265,0,13,0,0,0
72a266,0,0,0,0,0
72a267,118,0,0,0,0
72a268,0,0,0,0,0
72a269,421,0,0,0,0
72a270,229,89,0,0,0
72a271,0,0,0,0,0
72a272,514,0,0,0,1
72a273,0,0,0,1,201
72a274,71,0,0,0,0
72a275,0,0,0,0,0
72a276,188,51,0,0,2
72a277,0,0,0,0,343
72a278,31,0,1,0,2
72a279,21,0,0,0,0
72a280,186,0,1,0,0
72a281,166,0,0,0,0
72a282,0,0,0,0,0
72a283,875,106,117,0,0
72a284,348,0,0,0,0
72a285,3,0,0,0,0
72a286,0,0,0,0,0
72a288,1,0,0,0,0
72a289,23,0,0,0,0
72a290,0,0,170,0,0
72a291,0,0,0,0,0
72a292,0,0,0,0,0
72a293,0,2,0,0,0
72a294,12,0,30,0,0
72a296,0,0,0,0,0
72a297,0,0,0,0,0
72a298,0,0,0,0,0
72a299,92,0,0,0,0
72a300,0,0,0,0,0
72a301,0,0,0,0,0
72a302,0,0,0,0,0
72a304,0,0,0,0,14
72a305,0,0,0,0,31
72a306,0,0,0,0,0
72a307,0,0,0,0,0
72a308,0,0,0,0,0
72a309,0,0,0,0,0
72a310,0,0,0,0,0
72a311,0,0,0,0,0
72a312,0,0,0,0,91
72a313,0,0,0,0,0
72a314,0,0,0,0,0
72a315,0,0,0,0,0
72a316,363,0,0,0,0
72a317,3,0,0,0,0
72a318,0,0,268,0,0
72a319,5,0,0,0,0
72a320,0,0,0,0,129
72a321,74,0,0,0,1
72a322,0,0,0,0,0
72a323,344,41,0,0,0
72a324,0,0,0,0,0
72a325,129,61,0,0,0
72a326,1,0,0,0,0
72a327,0,0,0,0,0
72a328,0,0,0,0,0
72a329,72,4,1,0,0
72a330,91,0,0,0,0
72a331,0,0,0,0,0
72a332,2,42,0,0,0
72a333,1,0,0,0,0
72a334,0,0,0,0,0
72a335,0,0,0,0,0
72a336,0,0,0,0,0
72a337,0,0,0,0,0
72a338,0,0,0,0,0
72a339,0,0,0,0,19
72a340,0,292,0,0,0
72a341,0,0,2,0,0
72a342,0,0,0,0,0
72a343,0,0,0,0,0
72a344,0,0,0,0,0
72a345,0,0,0,0,0
72a346,2,0,0,0,0
72a347,0,34,0,0,0
72a348,0,0,0,0,0
72a349,40,0,0,0,0
72a350,0,0,1,0,0
72a351,11,332,1,0,0
72a352,1,0,39,0,0
72a353,2,0,0,0,0
72a354,23,0,0,0,0
72a355,0,0,0,0,0
72a356,0,0,0,0,0
72a357,0,0,1,0,0
72a358,2,0,0,0,0
72a359,0,0,0,0,0
72a360,0,0,0,0,0
72a361,0,1,0,0,0
72a362,2,0,0,0,0
72a363,0,0,0,0,13
72a364,0,7,0,0,169
72a365,1,0,0,0,100
72a366,0,0,0,0,0
72a367,0,0,0,0,0
72a368,110,9,0,0,0
72a369,69,123,0,0,0
72a370,245,0,67,0,0
72a371,0,0,0,0,0
72a372,61,71,1,0,0
72a373,0,0,0,0,0
72a374,133,243,0,0,0
72a375,0,0,0,0,0
72a376,0,0,0,0,0
72a377,0,0,0,0,0
72a378,0,0,0,0,0
72a379,0,0,2,0,0
72a380,158,0,0,0,0
72a381,0,0,0,0,0
72a382,14,58,0,0,0
72a384,0,1,0,0,0
72a385,0,0,0,0,1
72a386,0,0,0,0,0
72a387,3,0,0,0,1
72a388,1,891,0,0,0
72a389,1,0,0,0,0
72a390,0,0,0,0,0
72a392,941,0,484,0,0
72a393,384,0,0,0,0
72a394,0,0,0,0,0
72a395,0,5,0,0,0
72a396,0,0,0,0,0
72a397,0,0,0,0,0
72a398,0,0,0,0,0
