cellID,IgM,IgD,IgG,IgE,IgA
26a208,0,1,0,0,46
26a209,0,0,52,0,21
26a210,0,10,0,0,0
26a211,0,0,0,0,0
26a212,0,0,0,0,0
26a213,0,0,0,0,215
26a214,0,0,0,0,0
26a215,0,0,0,0,0
26a216,14,273,0,0,1
26a217,7,0,0,0,1
26a218,0,0,0,0,5
26a219,231,0,0,0,1
26a220,0,11,0,0,7
26a221,0,23,0,0,1
26a222,0,12,0,0,74
26a223,5,4,0,0,29422
26a224,0,0,0,0,0
26a225,0,2,0,0,0
26a226,401,1,0,0,0
26a227,0,0,0,0,1
26a228,363,4,0,0,1
26a229,1,0,0,0,2
26a230,0,0,0,0,0
26a231,17,1,0,0,392
26a232,0,0,0,0,0
26a233,0,0,0,0,1
26a234,1674,1019,0,0,3
26a235,116,0,0,0,3
26a236,946,998,0,0,0
26a237,0,0,0,0,0
26a238,0,0,0,0,2
26a239,622,1,0,0,0
26a240,0,0,0,0,0
26a241,0,0,0,0,6
26a242,1,0,0,0,2
26a243,1854,2,0,0,6
26a244,1,0,0,0,0
26a245,0,0,0,0,5
26a246,0,0,0,0,1
26a247,521,515,0,0,2
26a248,0,0,0,0,361
26a249,98,0,774,0,11
26a250,0,0,0,0,0
26a251,0,0,0,0,5
26a252,2,318,0,0,1
26a253,0,0,0,0,3
26a254,0,0,0,0,0
26a255,1,0,0,0,4
26a256,150,116,30,0,115
26a257,57,4,0,0,4
26a258,906,586,0,0,8
26a259,0,0,0,0,0
26a260,88,1,0,0,2
26a261,0,0,0,0,0
26a262,0,0,0,0,0
26a263,0,0,0,0,0
26a264,2,0,0,0,0
26a265,1,0,1,0,10
26a266,0,0,0,0,0
26a267,1,0,0,0,0
26a268,1,0,0,0,1
26a269,550,0,0,0,4
26a270,0,0,169,0,5563
26a271,226,0,0,0,0
26a272,573,0,0,0,2
26a273,1,1278,0,0,2
26a274,108,0,0,0,4
26a275,1,0,0,0,0
26a276,21,0,0,0,7
26a277,107,0,0,0,5
26a278,1,0,33,0,0
26a279,1,0,0,0,3
26a280,2,0,0,0,1
26a281,0,1,0,0,3
26a282,437,0,43,0,9
26a283,33,1397,0,0,5
26a284,1132,1,0,0,0
26a285,2,0,0,0,11
26a286,0,0,0,0,0
26a288,184,0,0,0,3
26a289,4,0,300,0,37
26a290,8,0,0,0,0
26a291,0,0,0,0,0
26a292,0,0,0,0,2
26a293,1,0,0,0,2
26a294,0,0,0,0,0
26a296,0,0,0,0,0
26a297,33,0,0,0,1
26a298,1,879,60,0,0
26a299,1,0,0,0,1
26a300,202,0,0,0,0
26a301,98,660,0,0,7
26a302,253,2,1,0,250
26a304,45,0,2,0,0
26a305,2,0,0,0,0
26a306,0,0,0,0,0
26a307,0,0,0,0,0
26a308,0,0,0,0,0
26a309,76,0,0,0,0
26a310,0,0,0,0,4
26a311,1,0,0,0,0
26a312,6,0,0,0,0
26a313,1,0,0,0,0
26a314,0,0,0,0,0
26a315,0,0,0,0,2
26a316,0,0,0,0,0
26a317,0,0,0,0,0
26a318,0,1,6,0,1
26a319,0,0,0,0,1
26a320,0,0,0,0,4
26a321,1,0,0,0,0
26a322,0,0,0,0,0
26a323,8,0,0,0,1
26a324,0,0,0,0,1
26a325,37,2,0,0,1
26a326,9,0,0,0,1
26a327,0,12,0,0,0
26a328,0,0,0,0,0
26a329,17,0,0,0,397
26a330,106,0,0,0,0
26a331,1,0,0,0,0
26a332,0,0,22,0,1
26a333,102,0,0,0,1
26a334,0,0,0,0,0
26a335,0,23,0,0,0
26a336,1,0,0,0,0
26a337,0,0,0,0,0
26a338,0,0,0,0,0
26a339,0,0,0,0,2
26a340,0,0,80,0,0
26a341,0,0,0,0,0
26a342,0,0,0,0,0
26a343,0,0,0,0,0
26a344,76,0,0,0,0
26a345,0,0,0,0,0
26a346,1,0,0,0,1
26a347,0,0,0,0,41
26a348,0,0,0,0,0
26a349,0,0,0,0,0
26a350,270,0,0,0,2
26a351,0,43,0,0,0
26a352,0,0,0,0,295
26a353,0,6,0,0,0
26a354,0,0,0,0,0
26a355,21,0,0,0,0
26a356,0,0,0,0,0
26a357,12,0,0,0,1
26a358,0,0,0,0,0
26a359,0,0,0,0,1
26a360,84,2,0,0,0
26a361,0,66,0,0,0
26a362,0,0,0,0,0
26a363,41,0,0,0,42
26a364,1,2,1,0,1
26a365,0,0,0,0,0
26a366,0,0,0,0,0
26a367,126,0,0,0,8
26a368,0,1,0,0,0
26a369,0,0,26,0,1
26a370,114,0,0,0,0
26a371,0,0,0,0,1
26a372,14,31,0,0,3
26a373,1,0,0,0,1
26a374,0,0,0,0,3
26a375,0,11,0,0,1
26a376,0,0,0,0,0
26a377,0,0,0,0,0
26a378,0,0,0,0,1
26a379,39,0,0,0,1
26a380,2,0,0,0,0
26a381,0,0,0,0,0
26a382,299,0,0,0,1
26a384,34,0,0,0,0
26a385,0,0,0,0,0
26a386,0,0,0,0,0
26a387,0,0,1,0,1
26a388,0,9,0,0,1
26a389,3,0,0,0,0
26a390,0,0,0,0,0
26a392,359,68,11,0,4
26a393,2,33,0,0,0
26a394,4,0,0,0,0
26a395,105,22,0,0,0
26a396,1,0,0,0,6
26a397,0,0,0,0,0
26a398,29,73,0,0,2
