cellID,IgM,IgD,IgG,IgE,IgA
48c208,1,0,0,0,7
48c209,0,0,0,0,0
48c210,0,0,0,0,6
48c211,0,0,0,0,1
48c212,0,0,421,0,5
48c213,0,0,1,0,0
48c214,0,0,0,0,0
48c215,0,0,2,0,3
48c216,1,0,1,0,4
48c217,0,0,33,0,2
48c218,0,0,1,0,11
48c219,0,0,0,0,2
48c220,1,0,1,0,10
48c221,1,0,0,0,1179
48c222,1,0,1,0,6
48c223,0,0,1,0,8
48c224,0,0,0,0,1
48c225,1,0,2,0,7
48c226,1,0,130,0,6
48c227,0,0,0,0,2
48c228,7,0,0,0,12
48c229,0,0,0,0,2
48c230,126,0,0,0,5
48c231,0,0,0,0,1
48c232,0,0,0,0,1
48c233,0,0,1,0,6463
48c234,0,0,1,0,6
48c235,0,0,0,0,709
48c236,0,0,0,0,0
48c237,0,0,0,0,8
48c238,4,0,0,0,2
48c239,0,0,0,0,0
48c240,0,0,0,0,2
48c241,0,0,4,0,12
48c242,0,0,0,0,0
48c243,2,0,0,0,12
48c244,2,0,0,0,0
48c245,0,0,0,0,3
48c246,0,0,0,0,0
48c247,271,0,1,0,3
48c248,0,0,0,0,0
48c249,1,0,0,0,6
48c250,1,0,0,0,0
48c251,0,0,0,0,8
48c252,0,0,2,0,15
48c253,0,0,0,0,5
48c254,0,0,0,0,1
48c255,1,0,5,0,11
48c256,2,0,1,0,11
48c257,0,0,1,0,2
48c258,0,0,0,0,1
48c259,0,0,0,0,1
48c260,35,0,0,0,3
48c261,0,0,0,0,0
48c262,0,0,0,0,1
48c263,0,0,0,0,0
48c264,0,0,0,0,1
48c265,0,0,0,0,2
48c266,0,0,0,0,0
48c267,0,0,3432,0,1
48c268,5,0,1,0,6
48c269,1,0,0,0,5
48c270,1,0,0,0,11
48c271,0,0,1,0,6
48c272,72,0,6,2,12
48c273,0,0,1,0,1
48c274,0,0,0,0,0
48c275,2,0,104,0,1
48c276,3,0,2,0,28
48c277,26,0,3,0,10
48c278,0,0,0,0,2
48c279,0,0,0,0,234
48c280,1404,0,7,0,454
48c281,1,0,1078,0,13
48c282,1,0,6,0,10
48c283,1,0,0,0,7
48c284,0,0,2,0,32
48c285,0,0,0,0,14
48c286,0,0,0,0,7
48c287,0,0,1,0,3
48c288,1,0,1,0,5731
48c289,1,0,1,0,24
48c290,22,0,0,0,0
48c291,0,0,0,0,1
48c292,1,0,0,0,5
48c293,0,0,2,0,1
48c294,0,0,0,0,0
48c295,1,0,0,0,2
48c296,0,0,0,0,0
48c297,2,0,5,0,22
48c298,0,0,0,0,1
48c299,72,0,1,0,4
48c300,0,0,1,0,2
48c301,0,0,0,0,1
48c302,0,0,0,0,4
48c303,0,0,0,0,0
48c304,0,0,0,0,4
48c305,0,0,0,0,0
48c306,0,0,0,0,1
48c307,0,0,0,0,0
48c312,3,0,0,0,10
48c313,0,0,1,0,0
48c314,0,0,0,0,1
48c315,0,0,0,0,0
48c320,0,0,0,0,0
48c321,0,0,0,0,4
48c322,0,0,0,0,0
48c323,0,0,0,0,2
48c328,0,0,0,0,2
48c329,0,0,0,0,6
48c330,0,0,0,0,3
48c331,0,0,0,0,0
48c336,0,0,1,0,2
48c337,0,0,0,0,1
48c338,1,0,0,0,1
48c339,1,0,0,0,0
48c344,1,0,2,0,10
48c345,4,0,38,0,155
48c347,0,0,0,0,0
48c352,0,0,0,0,4
48c353,337,1,0,0,6
48c354,0,0,0,0,46
48c355,0,0,0,0,0
48c360,0,0,0,0,8
48c361,0,0,0,0,3
48c362,1,0,0,0,8
48c363,0,0,0,0,1
48c368,0,0,0,0,16
48c369,0,0,0,0,50
48c370,0,0,2,0,9
48c371,1,0,0,0,1
48c376,1,0,3,0,13
48c377,0,0,0,0,1
48c378,1,0,0,0,0
48c379,0,0,2,0,29
48c384,0,0,0,0,5
48c385,0,0,0,0,0
48c386,0,0,0,0,2
48c387,85,0,45,0,57
48c392,0,0,2,0,12
48c393,0,0,0,0,0
48c394,0,0,0,0,0
48c395,0,0,2,0,7
