cellID,IgM,IgD,IgG,IgE,IgA
48a208,6,0,2,0,0
48a209,0,0,0,0,1
48a210,3,6,0,0,0
48a211,0,0,0,0,0
48a212,0,0,14,0,3
48a213,131,0,0,0,5
48a214,0,0,0,0,0
48a215,0,0,2,30,1
48a216,0,0,3,0,1
48a217,0,0,0,0,4
48a218,2,0,3,0,1
48a219,0,0,0,0,0
48a220,1,0,3,0,11
48a221,16,1,6,0,22
48a222,1,0,19,0,1
48a223,1,0,1204,0,5
48a224,1,0,0,0,9
48a225,1,121,4,1,1
48a226,0,0,4,0,27
48a227,3,0,3,0,0
48a228,17,0,0,0,5
48a229,0,0,0,0,8
48a230,0,0,438,0,2
48a231,28,2,12,0,0
48a232,0,0,0,0,0
48a233,0,0,8,0,5008
48a234,0,0,1,0,22
48a235,27,0,1,0,1
48a236,55,0,0,0,3
48a237,0,0,15,0,79
48a238,3,0,2,0,0
48a239,79,10,0,0,2
48a240,0,0,4,0,2
48a241,74,2,8,0,152
48a242,0,0,0,0,3
48a243,6,0,12,0,8
48a244,0,0,0,0,0
48a245,0,0,1,0,3
48a246,0,0,0,0,3
48a247,54,0,7,0,56
48a248,0,0,0,0,6
48a249,0,0,3,1,58
48a250,0,0,0,0,18
48a251,0,0,3,0,0
48a252,1,0,1,0,3
48a253,0,0,8,0,1
48a254,2,0,0,0,1
48a255,1,0,12,0,4
48a256,27,0,48,0,12
48a257,0,0,7,0,4
48a258,79,18,0,0,1
48a259,4,0,0,0,1
48a260,2,0,17,0,9
48a261,0,0,0,0,1
48a262,0,0,3,0,0
48a263,0,0,0,0,0
48a264,0,0,301,0,0
48a265,0,0,46,0,21
48a266,0,0,0,0,1
48a267,0,0,0,0,0
48a268,4,0,10,0,19
48a269,147,0,7,0,3
48a270,0,0,2,0,2
48a271,1,0,2,0,5
48a272,0,0,3,0,5
48a273,0,0,1,0,1
48a274,2,0,0,2,1
48a275,48,0,0,0,1
48a276,4,0,7,0,224
48a277,0,0,579,0,34
48a278,0,0,0,0,1
48a279,0,0,5,0,1
48a280,0,0,3,0,1
48a281,4,0,358,0,14
48a282,3,0,0,0,1
48a283,131,0,3,0,96
48a284,31,0,2,0,1
48a285,0,1,3,0,1
48a286,0,0,1,0,9
48a287,0,0,23,0,45
48a288,24,0,19,0,2
48a289,150,0,3,0,8
48a290,0,0,0,0,2
48a291,60,0,2,0,0
48a292,12,0,8,0,3
48a293,0,0,2,0,42
48a294,0,0,1,0,2
48a295,0,0,0,0,40
48a296,0,0,1,0,4
48a297,2,0,1,0,7
48a298,1,0,1,0,1
48a299,36,1,1,0,2
48a300,0,0,1,0,0
48a301,1,0,6,0,3
48a302,0,0,0,0,0
48a303,1,0,2,0,1
48a304,9,0,5,0,4
48a305,0,2,0,0,0
48a306,0,0,0,0,0
48a307,0,0,2,0,1
48a308,0,0,0,0,0
48a309,0,0,0,0,0
48a310,4,0,1,0,0
48a311,15,0,0,0,0
48a312,0,0,0,0,0
48a313,0,0,1,0,4
48a314,0,0,0,0,0
48a315,0,0,0,0,1
48a316,0,0,0,0,1
48a317,0,0,0,0,0
48a318,2,0,4,0,1
48a319,0,0,0,0,0
48a320,0,0,0,0,1
48a321,14,0,1,0,0
48a322,0,0,0,0,0
48a323,26,0,0,0,0
48a324,1,0,8,0,0
48a325,13,0,0,0,1
48a326,0,0,7,0,3
48a327,0,0,30,0,1
48a328,0,0,1,0,1
48a329,0,0,0,0,0
48a330,7,0,0,0,7
48a331,4,0,13,1,6
48a332,0,0,3,0,6
48a333,0,0,1,0,0
48a334,0,0,0,0,1
48a335,0,0,1,0,77
48a336,0,0,0,0,0
48a337,1,0,0,0,0
48a338,0,0,0,0,0
48a339,1,0,0,0,1
48a340,0,0,0,0,0
48a341,1,0,0,0,0
48a342,0,0,0,0,0
48a343,0,0,0,0,0
48a344,6,0,1,0,1
48a345,10,0,26,0,10
48a346,0,0,2,0,2
48a347,0,0,1,0,3
48a348,0,0,0,0,0
48a349,1,0,2,0,92
48a350,0,0,1,0,1
48a351,1,1,4,0,0
48a352,0,0,0,0,0
48a353,0,0,1,0,203
48a354,0,0,0,0,0
48a355,0,0,1,0,9
48a356,0,0,1,0,0
48a357,0,0,1,0,0
48a358,0,0,0,0,0
48a359,0,0,6,0,0
48a360,0,0,6,0,0
48a361,0,0,0,0,0
48a362,0,0,5,0,24
48a363,0,0,0,0,5
48a364,3,0,13,0,30
48a365,1,0,0,0,0
48a366,0,0,0,0,0
48a367,7,0,0,0,0
48a368,2,0,3,0,1
48a369,4,0,2,0,0
48a370,1,0,0,0,0
48a371,0,0,0,0,14
48a372,8,0,5,0,167
48a373,1,0,1,0,0
48a374,0,0,14,0,2
48a375,19,7,9,0,1
48a376,4,0,8,0,0
48a377,0,0,0,0,69
48a378,0,0,0,0,4
48a379,0,1,2,0,1
48a380,0,5,0,0,0
48a381,0,0,0,0,0
48a382,0,0,11,0,11
48a383,0,0,2,0,2
48a384,12,0,0,0,0
48a385,0,0,0,0,0
48a386,0,0,3,0,3
48a387,3,1,1,0,1
48a388,0,16,1,0,12
48a389,3,0,0,0,0
48a390,0,0,0,0,1
48a391,3,1,6,0,1
48a392,18,1,0,0,1
48a393,0,0,0,0,0
48a394,0,0,0,0,0
48a395,4,0,0,0,2
48a396,4,0,0,0,1
