"gene_id","832_M_281","832_M_BTK_217","832_N_273","832_N_BTK_209","832_P_289","832_P_BTK_225","832_T_297","832_T_BTK_233"
1,0,0,0,0,0,0,0,0
2,6.62,0.41,1.57,24.74,6.6,0,5.52,2.94
3,11.05,0.19,2.46,62.89,25.09,0.17,42.12,48.94
4,0,0,0,0,0,0,0,0
5,0,0,0,0,1.14,2.52,0,1.39
6,0,0,0,0,0,0,0,0
7,0,0.11,0,0,4.97,0,5.81,0.14
8,0,0,0,0,0.27,0,0,0
9,0.95,0.79,3.14,17.8,0,0,0,6.26
10,4.28,2.83,0,18.48,4.42,1.05,47.62,87.55
11,0,0,0,0,0,0,0,0
12,0,0,0.1,0,0,0.4,0,0
13,0,0,0,0,0,0,0,0
14,2.59,0.31,0,0,0.11,0,2.56,2.61
15,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0
25,1.81,3.62,0.27,11.15,4.98,0,1.29,0
26,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0
30,29.45,0,0,152.3,35.35,19.86,0,32.29
31,18.51,0,20.87,3.66,48.88,59.29,22.15,85
32,0,0,0,0,1.72,0,2.53,8.08
33,0,0,0,0,0,0,8.73,0
34,0.17,1.06,0.27,0.47,2.46,5.03,16.38,0.32
35,0,0,0.45,0,0.42,0,0,0
36,0,0,0,0,0.51,0.17,1.93,0
37,0,0,0,0,0,0,0,0
38,0,0,0,0,0,6.15,0,0
39,11.25,7.18,25.93,5.75,9.05,33.94,8.24,7.04
40,0,0,0,0,4.07,0,0,0
41,0,0,0,0,2.86,0,0,0.48
42,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0
44,10.79,9.31,25.54,4.29,1,11.7,1.38,2.15
45,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0
47,0,2.56,0,0,0.35,0,0,0
48,0,0,0,17.77,0.36,0,0.84,0
49,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0
51,0,0.76,0,0,1.63,14.18,0,0
52,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0
58,0.9,0,0.97,0.59,0.17,1.6,0.79,0
59,0,0,0,0,0,0,0,0
60,1.06,0,2.1,3.14,0,0,0.66,0
61,0,6.07,0,0,0,0,0,0
62,22.48,1.21,0.93,1.64,13.91,52.91,2.5,99.58
63,0.16,0,0,0,0,0,0,0
64,0,0,0,0,0.05,0,0,0
65,2.65,0,38.05,1.99,0.53,0,15.52,0
66,0,0,0,0,0,0,0,0
67,10.84,0,0,0,0.99,0.16,0,0
68,0,0,0,0,0,0,0,0
69,0.4,1.06,0,0,0.02,0,31.64,1.95
70,26.73,35.21,66.39,63.66,36.13,20.85,22.98,72.4
71,0,0,0,0,0,0,0,0
72,0,17.14,0,0,5.52,0,0,0.51
73,0,0,0,0,4.12,0.83,0,0
74,0,0,0.17,0,0,0,0,0
75,0,0,0,0,0,0,0,0
76,13.7,10.45,14.54,5.07,2.92,7.43,0.82,2.56
77,17.6,16.69,65.66,4.05,4.22,17.38,24.3,0.76
78,0.27,0.36,0.22,0,3.04,0.95,0,53.24
79,84.89,13.21,17,11.26,11.45,31.95,4.84,131.16
80,0,0,0,4.95,0,3.34,0.18,0.71
81,0,0,0,0,0,0,0,0
82,0,0,0,0,0,0,0,0
83,4.45,1.21,0.1,5.1,1.14,11.84,1.45,5.04
84,0.19,0,2.11,1.13,0.36,1.21,0,0
85,0,0.52,0.28,0,5.1,0,0,0
86,0,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0,0
88,8.93,40.74,3.33,8.56,4.22,16.39,56.32,1.1
89,0,0,0,0,0,0,0,0
90,0,0,0,0.53,0,0,0,0
91,2.69,0,0,0,0.65,0.97,15.84,0
92,1.09,0,0,0,0.07,0,0,0
93,0,0,0,0,0,0,0,0
94,20.73,1.17,1.47,2.04,2.17,12.71,22.23,34.43
95,6.22,1.55,13.18,34.06,15.11,24.86,5.22,25.16
96,0,0,0,0,0,0,0,0
97,68.01,5.23,2.5,16.74,11.42,69.54,86.34,14.62
98,5.3,0.43,0,0.71,0.5,1.26,2.38,0.48
99,1.03,1.22,1.36,5.67,9.28,22.92,7.04,35.93
100,2.69,0.39,0.22,1.05,3.23,13.64,0,0
101,2.42,1.55,23.45,16.04,4.9,0.33,13.97,0
102,0,0.61,0,0,0.39,0,0,0
103,0,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0,0
105,1.45,0.12,0.29,1.67,3.45,7.73,15.55,7.28
106,0.22,0.63,0,6.63,0.56,7.7,4.83,3.62
107,0,0,0,0,0,0,0,0
108,12.73,4,0.64,0,0.04,0.26,0.76,0
109,0.22,0,0,0.53,0.17,1.04,0,0.53
110,2.05,4.41,2.87,6.54,5.02,11.19,26.39,43.8
111,0.24,0.26,0,1.71,0.63,1.97,1.8,0
112,4.11,0.17,2.7,4.86,1.49,1.15,10.55,1.29
113,0,0,0,0,0.03,0,0,0
114,0,0,0.13,0,0,0,0,0
115,0.31,0,0,0,0,0,0,0
116,1.01,6.45,15.04,7.48,1.08,9.34,0,0.7
117,0,0,18.56,0,0,0,0,0
118,0,0,0,0,0.73,0,0,0.83
119,0,0,0.07,0,5.33,0.2,0,0
120,0,0,0,0,0,0,0,0
121,0.1,1.8,0,0.46,0.03,0.12,0,0
122,8.42,0.3,2.39,0,0.85,0.34,0,0.28
123,0.95,2.85,3.37,0,1.04,0,6.62,0.34
124,1.22,0,9.3,55.04,2.76,22.22,12.46,0.93
125,0,0,0,0.42,0.79,9.48,0,0
126,0,0,0,0,0,0,0,0
127,0,0,0,0,0,0,0,0
128,0,0,0,0,0,0,0,0
129,0,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0,0
131,0,0,0,0,0,0,0,0
132,0,0,0,0,0.02,0,0,0
133,0,0,0,0,0,0,0,0
134,0,0,0,0,0,0,0.31,0
135,0,0,0,0,0,0,0,0
136,0,0,0,0,0.07,0,0,0
137,0,0,0.22,9.06,0.05,0.07,0,0
138,0,0,0,0,0,0,0,0
139,44.48,0.27,0.33,11.15,2,0.48,0,0.49
140,0.28,0.72,0.9,6.1,2.5,0.83,1.97,89.21
141,0,0.12,0,0,2.9,0,0,0
142,0,0,0,0,0,0,0,0
