"gene_id","832_M_281","832_M_BTK_217","832_N_273","832_N_BTK_209","832_P_289","832_P_BTK_225","832_T_297","832_T_BTK_233"
143,30.89,1.02,8.82,2.14,124.87,42.78,17.86,3.53
144,0,0,0,0,0,0,0,0
145,0,0,0,0,0,0,0,0
146,0,0,0,0,2,0,0,0
147,3,0,0,1,0,0,0,0
148,6.06,3.19,2,0,37.51,2.79,10.07,0
149,23.44,26.2,5.44,11.74,467.85,59.59,14.46,31.77
150,79.32,15.71,12.78,18.14,662.81,206.97,107.11,47.32
151,11.53,101.68,6.58,25.49,722.78,71.94,20.26,12.19
152,0.95,2,3.52,1.14,113.38,9.82,9.36,0.84
153,0,0,0,0,0,0,0,0
154,0,0,0,0,0,0,0,0
155,0,0,0,0,0,0,0,0
156,0,0,0,0,0,5,0,0
157,0,0,0,0,8,0,0,0
158,0,0,0,0,0,0,0,0
159,0,0,0,0,0,0,0,0
160,0,0,0,0,0,0,0,0
161,0,0,0,0,0,0,0,0
162,0,0,0,0,0,0,0,0
163,0,0,0,0,0,0,0,1
164,0,0,0,0,0,0,0,0
165,0,0,0,0,0,0,0,0
166,0,0,0,0,0,0,0,0
167,0,0,0,0,0,0,0,0
168,0,0,0,0,0,0,0,0
169,0,0,0,4,448,1,2,0
170,15,116,197,5,861.22,3,105,50.98
171,0,0,0,0.29,0,3,0,0
172,475.52,198.11,537.5,199.19,196.63,177.68,64.31,48.31
173,13.28,4.94,7.15,3.72,425.26,58.05,15.79,10.86
174,6.32,0,61.99,8.84,258.75,47.18,15.09,5.09
175,0,1.02,1,2.83,12.8,6.12,3.54,0
176,0,0,0,0,0,0,0,0
177,0,0,0,0,0,0,0,0
178,2,1,0,11,0,0,0,0
179,0,0,0,0,0,0,0,0
180,15.29,5.45,4.88,13.19,132.09,46.15,13.09,8.34
181,0,0,0,0,1,0,0,0
182,0,0,0,0,0,0,0,0
183,0,0,0,0,2,0,0,1
184,0,0,0,1,0,1.89,0,1
185,132.41,79.53,42.49,113.89,2159.1,430.89,239.94,101.84
186,0,0,0,0,0,0,0,0
187,7,1,4.98,2,187.74,42.67,2,106
188,6.24,2.15,4.43,1.75,186.46,102.97,22.4,15.41
189,0,1,3,2,17,1,0,0
190,3,1,3,299,22.69,41.87,136.75,0
191,10,4,13,0,6.28,10.13,63,54
192,0,0,0,0,0,0,0,0
193,0,0,0,0,0,0,0,0
194,10.47,25,99.06,10,184,57,11,83
195,142,28,65.19,0,2.19,83,81,0
196,0,5,0,0,2,0,0,0
197,0,13,0,0,0,0,0,0
198,0,0,0,0,0,0,0,0
199,619.58,9.62,13.24,8.93,222.44,66.54,43.46,23.71
200,0,0,0,0,0,0,0,0
201,113.99,15,60,22.27,84,8,30.02,7
202,0,0,0,0,0,0,0,0
203,0,0,0,0,1,0,1,0
204,0,0,0,0,0,0,0,0
205,0,0,0,0,0,0,0,0
206,0,0,0,0,0,0,0,0
207,132,50.29,299.07,442.18,2792.96,294.66,105.09,131.99
208,0,0,1,0,1,3,0,0
209,0,0,0,0,0,0,0,0
210,387.79,79,196,3,387,77.75,75,23
211,0,0,0,0,0,0,0,0
212,1.93,0,0,0,0,0,0,0
213,0,0,0,0,0,0,0,0
214,1.01,0,4.01,0,47.17,0,1.94,0
215,0,0,0,0,0,0,0,0
216,0,0,1,2,442,93,0,1
217,13.04,10.64,12.01,13.89,275.23,84.43,112.61,18.03
218,1,3.9,0,0,98.14,0,3.58,0
219,1.01,1.03,3,1,142.96,31.49,2.38,0
220,7.25,14.82,8.76,36.16,721.57,41.33,23.39,10.61
221,0,0,0,0,217.8,1,1,0
222,1.89,6.24,3,0.99,36.95,16.22,18.64,6.92
223,0,0,0,0,0,0,0,0
224,0,0,0,0,0,0,0,0
225,0,1,0,0,12,0,0,0
226,0,0,0,0,16,0,7,0
227,11.4,16.22,168.31,132.44,398.03,64.29,202.83,16.85
228,0,0,0,0,0,0,0,1
229,4,0,2,9,9,2,42,2
230,387.61,21,2,56,560.88,2,209.27,179.96
231,0,0,0,0,6,0,0,0
232,176,7.35,10,4,11.22,38,71,3
233,30.22,10.81,14.2,31.15,510.55,124.41,68.5,33.38
234,0,0,0,0,0,0,0,0
235,0,0,9.01,0,0.56,1.41,1.02,1
236,0,0,0,0,0,0,0,0
237,0,0,0,0,0,0,0,0
238,8,13,50.65,147,2669.97,278.21,115.74,75.5
239,17.13,10.13,14.82,8.04,673.85,139.73,105.49,30.05
240,0,0,0,0,0,0,0,0
241,0.81,0,1.58,0.5,2.27,1,0.52,1
242,10,4,14,5,220,6,60,0
243,0,0,1,0,2,0,0,2
244,55.06,18.92,24.18,72.13,898.25,115.62,68.81,55.95
245,0,0,7,1,84.99,2.03,0,66
246,0,1,35.98,0,75.1,0,31.15,2.14
247,0,0,0,0,0,0,0,0
248,0,0,0,0,24,0,0,0
249,25.8,36.67,2,28,1118.03,184.69,62.28,87
250,0,1,4.62,0,258.06,6.86,0,0
251,1.05,2,4,1,3404.36,256.18,0,28
252,1163.9,160,352.11,5,292.02,77,116.44,116
