"gene_id","833_M_280","833_M_BTK_216","833_N_272","833_P_288","833_P_BTK_224","833_T_296","833_T_BTK_232"
178,0,0,0,0,0,0,0
179,0,0,0,0,0,0,0
180,20.77,4.04,1.01,21.91,0,2.08,1.8
181,0,0,0,0,0,0,0
182,0,0,0,0,0,0,0
183,0,0,0,0,0,0,0
184,0,0,0,1.92,0,0,0
185,213.6,14.6,19.78,515.73,3.33,33.21,6
186,0,0,0,0,0,0,0
187,11.93,0,0,95.01,1,0,0
188,37.05,1.1,1,29.83,0,0,0
189,0.17,0,1,1,0,0,0
190,0,1,0,0,0,0,0
191,54.78,3,0,7,0,7,0
192,0,0,0,0,0,0,0
193,0,0,0,0,0,0,0
194,19.99,5,63,76.11,0,97,0
195,0,0,0,0,0,0,0
196,0,0,0,0,0,0,0
197,0,0,0,0,0,0,0
198,0,0,0,0,0,0,0
199,8.05,2.05,5.78,55.68,0,4.08,0
200,0,0,0,0,0,0,0
201,35,19.01,56,13,3,2,0
202,0,0,0,0,0,0,0
203,0,0,0,0,0,0,0
204,0,0,0,0,0,0,0
205,0,0,0,0,0,0,0
206,0,0,0,0,0,0,0
207,328.43,39,0,211.01,109.93,41.34,0
208,0,0,0,0,0,0,0
209,0,0,0,0,0,0,0
210,38,20,1,145,2,221.39,0
211,0,0,0,0,0,0,0
212,0,0,0,0,0,0,0
213,0,0,0,0,0,0,0
214,0,0,0,4.75,0,0,0
215,0,0,0,0,0,0,0
216,6,0,0,5,0,0,0
217,11.71,4.83,0,81.69,2.91,6.81,0
218,0,1,0,2.82,0,18,0
219,1.95,0,0,12.67,0,0,0
220,10.4,0,1.97,46.95,1,1,0
221,0,0,1,0,0,0,0
222,0,0,0,6.77,0,0,0
223,0,0,0,0,0,0,0
224,0,0,0,0,0,0,0
225,0,0,0,0,0,0,0
226,0,1,0,30,0,0.63,0
227,257.49,1,128.8,34.57,0,95,1
228,2,1,15,1,0,0,0
229,0,0,0,33,0,11.97,0
230,1,0,0,27,0,0,0
231,0,0,0,0,0,0,0
232,7,1,0,0,0,8,0
233,40.6,22.8,3.28,128.61,4.98,10.13,0
234,0,0,0,0,0,0,0
235,0.96,0,0,0,0,0,0
236,0,0,0,0,0,0,0
237,0,0,0,0,0,0,0
238,83,0,1,136.09,1,27,0
239,32.86,0,3.98,59.18,2.19,3.7,0
240,0,0,0,0,0,0,0
241,0,0,0,0,0,0.5,0
242,0,0,0,3,0,0,0
243,0,0,0,0,0,147,0
244,59.3,9.91,6.54,230.27,1,6.17,6
245,1,0,0,3.02,1,0,0
246,0,0,0,7.04,0,2,0
247,0,0,0,0,0,0,0
248,0,0,0,0,0,0,0
249,8,96.75,33.42,41,0,72.98,0
250,0,0,1.95,1.87,0,0,0
251,4,0,0,15,0,0,0
252,2,0,0,89,0,1,0
253,2,0,1,157,0,1.01,0
254,0,0,0,0,0,0,0
255,0,0,0,0,0,0,0
256,0,0,0,0,0,0,0
257,0,0,0,0,0,0,0
258,59.93,5.18,2.83,44.13,1,3.06,0
259,0,0,0,0,0,0,0
260,0,0,0,0,0,0,0
261,0,0,0,0,0,0,0
262,5.09,0,7.08,11.78,0,6.16,0
263,1,0,0,26.01,0,0,0
264,129.66,6.2,10.99,142.41,5.23,5.32,0
265,0,0.99,9.28,3.27,0,64.97,0
266,0,1,0,8,0,0,0
267,0,0,0,0,0,0,0
268,17.39,28.93,12.22,163.06,1.99,6.92,0
269,1.07,0,0,0,0,0,0
270,0,0,0,0,0,0,0
271,0,0,0,0,0,0,0
272,17.69,29.28,7.64,264.79,1,1.99,15.53
273,79.29,1,19,15.03,1,3,0
274,0,0,25,0,0,0,0
275,0,0,0,0,0,0,0
276,0,0,0,0,0,0,0
277,0,0,0,0,0,0,0
278,6.2,0,0,47.5,0,0,1
279,10.5,0,0,8,0,0,0
280,2,8.95,0,2,0,2,0
281,0,0,0,0,0,0,0
282,9,5,0,1,0,0,0
283,0,0,0,0,0,0,0
284,0,0,0,0,0,0,0
285,0,0,0,0,0,0,0
286,0,0,0,6,0,0,0
287,13.99,0.95,0,35.67,0,14.06,0
288,0,0,0,0,0,0,0
289,0,0,0,0,0,0,0
290,2,4,28.05,142,0,1,7
291,0,0,0,0,0,0,0
292,0,0,0,0,0,0,0
293,0,0,0,0,0,0,0
294,0,0,0,0,0,0,0
295,0,0,0,0,0,0,0
296,0,0,0,0,0,0,0
297,0,0,0,0,0,0,0
298,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0
300,0,0,1,0,0,0,0
301,0,0,0,0,0,0,0
302,0,0,0,0,0,0,0
303,0,0,0,0,0,0,0
304,0,0,0,0,0,0,0
305,0,0,0,0,0,0,0
306,0,0,0,0,0,0,0
307,0,0,0,0,0,0,0
308,0,0,1.5,0,0,0,0
309,0,0,0,0,0,0,0
310,0,0,1.5,0,0,0,0
311,0,0,0,0,0,0,0
312,0.01,0,0,6.46,0.5,0,0
313,0,0,0,0,0,0,0
314,0,0,0,0,0,0,0
315,0,0,0,0,0,0,0
316,0,0,0,0,0,0,0
317,0,0,0,0,0,0,0
318,0,0,0,0,0,0,0
319,0,29,0,0,0,0,0
320,0,0,0,0,0,0,0
321,0,0,0,0,0,0,0
322,0,0,0,0,0,0,0
323,0,0,0,0,0,0,0
324,0,0,0,0,0,0,0
325,0,0,0,0,0,0,0
326,0,0,0,0,0,0,0
327,0,0,0,0,0,0,0
328,0,0,0,0,0,0,0
329,0,0,0,4,0,0,0
330,0,0,0,0,0,0,0
331,0,0,0,0,0,0,0
332,0,0,0,0,0,0,0
333,0,0,0,0,0,0,0
334,0,0,0,0,0,0,0
335,1966.9,12.25,204.24,429.7,12.01,224.29,0
336,0,0,0,0,0,0,0
337,0,0,0,0,0,0,0
338,0,0,0,21,0,0,0
339,0,0,0,0,0,0,0
340,0,1,0,0,0,0,0
341,0,0,0,0,0,0,0
342,0,0,0,0,0,0,0
343,0,0,0,0,0,0,0
344,0,0,0,0,0,0,0
345,1,1,0,1.55,0,0,0
346,11.65,0,1.03,35.17,0,1.95,1.99
347,103,0,0,12.07,0,0,0
348,0,0,0,0,0,0,0
349,0,0,0,0,0,0,0
350,0,0,0,0.73,0,0,0
351,2,1,0,27.7,0,1,0
352,5.01,83,2,107.26,3,0,0
353,37.1,13.27,8.44,114.68,3.38,1.08,0
354,0,0,0,0,0,0,0
355,0,0,0,0,0,0,0
356,0,0,0,7.57,1.17,0,0
357,8,0,16,43.02,0,0,0
358,0,0,0,0,0,0,0
359,20.58,1.02,3.25,31.75,0,0,0
360,0,0,0,0,0,0,0
361,30.21,19.23,16.01,278.3,0.05,2.99,4.14
362,7.41,1.12,0,0.01,0,0,0
363,0,1.84,4,109.3,0,0,0
364,173.77,36,103,757.01,1,97.97,0
365,0,0,0,0,0,0,0
366,0,3,0,1,0,0,0
367,0,0,0,0,0,0,0
368,0,0,0,0,0,0,0
369,0,0,0,0,0,0,0
370,0,0,0,0,0,0,0
371,0,0,0,0,0,0,0
372,0,0,0,0,0,0,0
373,0,0,0,0,0,1,1
374,0,0,0,0,0,0,0
375,51.75,3.02,1,43.27,0,0.99,0
376,0,0,0,0,0,0,0
377,42,10.01,7.06,13.83,1,6,0
378,0,0,0,0,0,0,0
379,6,3,17,7,0,7,1
380,11.12,0,0,24.65,3,1.02,0
381,1.72,0.1,0.22,13.16,0,0.4,0
382,0,0,0,0,0,0,0
383,0,0,0,0,0,0,0
384,0,0,0,0,0,0,0
385,0,0,0,0,0,0,0
386,0,0,0,0,0,0,0
387,0,0,0,0,0,0,0
388,0,0,0,0,0,0,0
389,47,5.61,0,46.01,0,1,0
390,10.5,2.02,1,162.93,2,2.7,1.12
391,0,0,0,0,0,1,0
392,1.72,0.1,0.22,13.16,0,0.4,0
393,0,0,0,0,0,0,0
394,0,0,0,0,0,0,0
395,0,0,0,0,0,0,0
396,0,0,0,0,0,0,0
397,0,0,0,0,0,0,0
398,0,0,0,0,0,0,0
399,0,0,0,0,0,0,0
400,0,0,0,0,0,0,0
401,2.95,3.29,0,8.32,0,0,0
402,1.72,0.1,0.22,13.16,0,0.4,0
403,0,0,0,0,0,0,0
404,0,0,0,0,0,0,0
405,0,0,0,0,0,0,0
406,0,0,0,0,0,0,0
407,0,0,0,0,0,0,0
408,0,0,0,0,0,0,0
409,0,0,0,0,0,0,0
410,2,1,0,0,0,1,0
411,0,0,0,0,0,0,0
412,1.72,0.1,0.22,13.16,0,0.4,0
413,0,0,0,0,0,0,0
414,0,0,0,6.64,0,0,0
415,2,4,0,4,78,0,0
416,0,1,0,0,0,0,0
417,0,0,0,0,0,0,0
418,0,0,0,0,0,0,0
419,0,0,0,0,0,0,0
420,0,0,0,0,0,0,0
421,0,0,0,0,0,0,0
422,0,0,0,0,0,0,0
423,4,1,20,811.06,0,0,0
424,0,0,0,0,0,0,0
425,0,0,0,0,0,0,0
426,0,0,0,0,0,0,0
427,0,0,0,0,0,0,0
428,0,0,0,0,0,0,0
429,0,0,0,0,0,0,0
430,0,0,0,0,0,0,0
431,0,0,0,0,0,0,0
432,0,0,0,0,0,0,0
433,0,0,0,0,0,0,0
434,0,0,0,0,0,0,0
435,0,0,0,0,0,0,0
436,0,0,0,0,0,0,0
437,0,0,0,0,0,0,0
438,0,0,0,0,0,0,0
439,0,1,0,1,0,1,0
440,17.2,1,5,123.98,0,1,1.16
441,12.11,21.28,0,168.38,1,7,0.89
442,0,10.25,5,18.23,0,1.99,0
443,0,1,0,0,0,0,0
444,0,0,0,0,0,0,0
445,3.99,2,0,2.92,0,0,0
446,2.68,5,1,1.94,0,1,0
447,0.94,0,0,32.37,0,0,0
448,92.01,43,48,195,1,106,2
449,3.9,0,0,13.43,0,2,0
450,0,0,0,14.36,0,1,0
451,0,0,0,0,0,0,0
452,0,0,0,0,0,0,0
453,16.74,8.02,7.95,72.5,1.08,3,1.74
454,8.98,1,4.06,156.85,1,4.55,1
455,0,0,0,0,0,0,0
456,5,0,0,34.08,0,0,0
457,0,0,0,0,0,0,0
458,0,0,0,0,0,0,0
459,7.33,1,3.06,32.28,0,3,0
460,0,0,0,0,0,0,0
461,0,0,0,0,0,0,0
462,0,0,0,0,0,0,0
463,0,0,0,0,0,0,0
464,0,0,0,0,0,0,0
465,1,0,0,0,0,0,0
466,0,0,0,70.92,0,0,0
467,0,0,0,0,0,0,0
468,0,0,0,0,0,0,0
469,0,0,0,0,0,0,0
470,0,0,0,0,0,0,0
471,0,0,0,0,0,0,0
472,35.96,3.67,5.89,141.88,1,2.98,0
473,0,0,0,0,0,0,0
474,3.86,0,0,0,0,0,0
475,0,0,5,5,0,0,0
476,0,0,0,0,0,0,0
477,0,0,0,0,0,0,0
478,0,0,0,12.78,0,0,0
479,166.55,5.1,0,107.99,5,11.46,0
480,0,0,0,0,0,0,0
481,0,0,0,0,0,0,0
482,27.24,9.65,2.61,116.74,2,9,4.86
483,4,1,3,6,106.1,57,0
484,0,0,0,0,0,0,0
485,0,0,0,0,0,0,0
486,0,0,0,0,0,0,0
487,0,0,0,0,0,0,0
488,0,0,0,0,0,0,0
489,0,0,0,0,0,0,0
490,0,0,0,0,0,0,0
491,0,0,0,0,0,0,0
492,89,4,100.06,336.56,8.28,0.97,0
493,13.31,3.68,20.39,34.71,6.99,0,2.3
494,0,0,0,0,0,0,0
495,0,0,0,0,0,0,0
496,0,0,0,0,0,0,0
497,0,0,0,0,0,0,0
498,0,0,0,0,0,0,0
499,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0
501,0,38,0,0,0,0,0
502,0,0,0,0,0,0,0
503,0,0,0,0,0,0,0
504,111.8,9,2.06,35.64,1,3.64,0
505,0,0,0,0,0,0,0
506,159.42,1,0,3.75,0,0,0
507,1,0,1,1.66,0,0,0
508,0,0,0,0,0,0,0
509,88.06,48,2,25,1,3,0
510,1,0,1,1,0,0,0
511,0,0,0,0,0,0,0
512,2.99,1,3,18.66,0,8.04,0
513,0,0,0,0,0,0,0
514,0,0,0,0,0,0,0
515,0,0,0,0,0,0,0
516,0,0,0,0,0,0,0
517,0,0,0,0,0,0,0
518,0,0,0,0,0,0,0
519,0,0,0,0,0,0,0
520,0,0,0,0,0,0,0
521,0,0,0,0,0,0,0
522,0,0,0,0,0,0,0
523,0,0,0,98.86,0,0,0
524,0,0,0,0,0,0,0
525,0,0,0,0,0,0,0
526,0,0,0,0,0,0,0
527,0,0,0,0,0,0,0
528,0,0,0,0,0,0,0
529,4.98,1,0,7.29,0,1,0
530,0,0,0,0,0,0,0
531,0,0,0,0,0,0,0
532,7.06,11.62,5,54,0,6,0
533,2,0,0,1,0,0,0
534,0,0,0,0,0,0,0
535,0,0,0,0,0,0,0
536,0,0,0,0,0,73,0
537,0,0,0,0,0,0,0
538,0,0,0,0,0,0,0
539,1.97,0,2.61,38.8,0,2.25,0
540,0,0,0,0,0,0,0
541,0,0,0,0,0,0,0
542,0,0,0,0,0,0,0
543,4.32,0,0,80.99,0,1.9,0
544,0.99,0,0,0.86,0,0,0
545,572.93,172,7,11.99,6,57,0
546,1,0,1,3.42,0,28,1.01
547,0,0,0,0,0,0,0
548,123.31,75,7,201.98,7,88,2
549,38.24,1,0,6,3,0,0
550,19.75,0,0,0,0,0,0
551,0,0,0,0,0,0,0
552,6,5,0,0,0,0,0
553,3,2,0,6,0,64.99,0
554,4,0,2.27,12.93,0,0,0
555,5,0,2,9.71,0,0,0
556,4,0,0,3.8,1,105,0
557,1,0,22,0,8.7,0,0
558,0,0,0,0,0,0,0
559,0,0,0,0,0,0,0
560,0,0,0,0,0,0,0
561,0,0,0,0,0,0,0
562,89,39,46,129,0,4,0
563,25.85,13.03,0.03,86.69,0,11,0
564,0,0,0,0,0,0,0
565,0,0,0,0,0,0,0
566,0,0,0,0,0,0,0
567,0,0,0,0,0,0,0
568,0,0,0,0,0,0,0
569,0,0,0,0,0,0,0
570,0,0,0,0,0,0,0
571,2,0,1.08,10.44,0,0,0
572,0,0,0,0,0,0,0
573,17.23,0.97,3.5,108.47,0,1.92,0
574,0,0,0,0,0,0,0
575,0,0,0,0,0,0,0
576,0,0,0,0,0,0,0
577,0,0,0,0,0,0,0
578,0,0,0,0,0,0,0
579,0,0,0,0,0,0,0
580,0,0,0,4.07,0,0,0
581,14,0.97,0,23.62,0,1,0
582,0,0,0,0,0,0,0
583,1,0,0,52.71,0,2,0
584,0,0,0,0,0,0,0
585,10.61,3,1,66.03,0,0,0
586,692.69,13,88.79,601.56,4,85.22,1
587,1,29,0,15,44.01,0,0
588,0,0,0,0,0,0,0
589,0,0,0,0,0,0,0
590,231,53,1,313.97,0,0,0
591,0,0,0,0,0,0,0
592,0,0,0,0,0,0,0
593,161.95,7.98,10.02,120.15,2,14.02,0
594,11.99,1,4.6,48,0,1,0
595,46.1,5.93,6.78,212.19,4,3.25,0.73
596,0,0,0,9.78,0,1,0
597,3,1,0,128,0,3,0
598,0,0,0,0,0,0,0
599,44.99,1.87,1.33,151.15,4.24,5.92,0
600,0,2,0,29.97,1,0,0
601,0,0,0,0,0,0,0
602,0,0,0,1,0,2,0
603,0,0,0,0,0,0,0
604,0,0,0,0,0,0,0
605,0,1,1.02,8.18,0,3.94,0
606,0,0,0,0,0,0,0
607,10.49,14.22,1.53,30.86,0,0,0
608,6.33,3.69,1,15.89,0,0,0
609,30.31,1.2,1,47.71,0,1,0.96
610,2,0,0,3.24,0,0,0
611,5.72,3,6.76,42,1,2.06,0
612,15.34,2.87,2.6,43.96,2,2.28,0
613,7.41,2.88,2.33,16.7,0,0.99,0
614,0,0,0,0,0,0,0
615,0,0,0,0,0,0,0
616,0,0,0,0,0,0,0
617,0,0,0,1,0,0,0
618,0,0,0,0,0,0,0
619,0,0,0,0,0,0,0
620,0,0,0,0,0,0,0
621,1,4,0,17,0,2,0
622,0,0,0,1.99,0,0,0
623,0,0,0,0,0,0,0
624,7.08,0,0,14.34,0,1,0
625,0,1,0,90,0,0,0
626,191.84,65,8,255.38,2,179.01,0
627,0,4,0,0,0,1,0
628,689.43,229.64,35,194.01,8,124,0
629,0,0,0,0,0,0,0
630,0,0,0,0,0,0,0
631,9.83,0,1,16.71,4,0,0
632,0,0,0,0.21,0,0,0
633,0,0,0,0,0,0,0
634,275.96,50,10,161.08,4,20.04,0
635,1,6,1,2,0,2,0
636,0,0,0,0,0,0,0
