gene_id,235-1_P_273,235-1_M_265,235-1_N_257,235-1_T_281,235_P_225,235_M_217,235_N_209,235_T_233
129,0,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0,0
131,0,0,0,0,0,0,0,0
132,0,0,0,0,0,0,0,0
133,0,0,0,0,0,0,0,0
134,0,0,0.21,0,0,0,0,0
135,0,0,0,0,0,0,0,0
136,0,0,2.21,0,0,0,0,0
137,5.16,0,0,2.95,0.42,0,1.82,1.14
138,0,0,0,0,0,0,0,0
139,5.89,2.9,4.55,18.5,1.52,2.64,0,23.12
140,6.22,29.58,1.68,5.85,10.2,6.82,34.64,26.01
141,2.5,0,0,0.28,0,0.59,0,0
142,0,0,0,0,0,0,0,0
143,1.01,1.81,2.23,10.02,2.02,6.44,4.06,0.96
144,0,0,0,0,0,0,0,0
145,0,0,0,0,0,0,0,0
146,0,0,0,0,0,0,0,2.25
147,0,0,0,0,0,0,0,0
148,0,0.43,0,0.46,0.53,0.55,7.24,1.46
149,0,10.9,24.55,6.98,11.81,3.06,29.31,2.24
150,12.37,30.82,9.71,19.52,23.4,26.07,6.16,25.9
151,3.52,27.88,13.59,7.75,16.82,16.23,23.48,5.03
152,0.92,1.15,1.95,1.84,6.19,1.82,6.61,3.5
153,0,0,0,0,0,0,0,0
154,0,0,0,0,0,0,0,0
155,0,0,0,0,0,0,0,0
156,0,0,0,0.9,2.01,0,0,0
157,0,0,0,0,0,0,0,0
158,0,0,0,0,0,0,0,0
159,0,0,0,0,0,0,0,0
160,0,0,0,0,0,0,0,0
161,0,0,0,0,0,0,0,0
162,0,0,0,0,0,0,0,0
163,0,0,0,0,0,2.17,0,1.38
164,0,0,0,0,0,0,0,0
165,0,0,0,0,0,0,0,0
166,0,0,0,0,0,0,0,0
167,0,0,0,0,0,0,0,0
168,0,0,0,0,0,0,0,0
169,1.92,1.71,0.74,1.23,11.98,3.59,11.22,0.8
170,5.53,87.9,5.21,56.11,53.57,101.53,14.37,51.88
171,0,0,0,0,0,0,0,0
172,76.53,6.84,30.12,54.44,43.62,64.4,53.91,35.4
173,2.89,15.21,0.7,4.92,3.32,5.11,2.14,2.88
174,2.3,1.11,1.03,2.52,1.27,0.22,0.81,2.55
175,0,0,7.2,0.17,1.18,0.87,2.48,0
176,0,0,0,0,0,0,0,0
177,0,0,0,0,0,0,0,0
178,0,0,0,0,0,0,0,0
179,0,0,0,0,0,0,0,0
180,0,4.86,2.93,11.03,2.26,13.58,0.92,6.23
181,0,0,0,0.34,0,0,0,0
182,0,0,0,0,0,0,0,0
183,0,0,0,53.16,0.36,1.97,0,26.69
184,0,0,0,0,0.83,0.6,0.01,0.2
185,16.31,17.85,12.24,35.35,178.66,31.43,19.09,25.63
186,0,0,0,0,0,0,0,0
187,2.81,18.43,0,5.85,0.22,5.02,0,4.26
188,4.41,2.16,1.03,5.49,2.64,1.76,0.32,2.36
189,0,1.71,0.13,0.32,0.39,0,0,5.88
190,0,28.35,0,0,36.5,40.48,24.65,10.68
191,4.92,16.88,9.37,5.76,5.82,0.46,9.43,0
192,0,0,0,0,0,0,0,0
193,0,0,0,0,0,0,0,0
194,0,17.68,0.31,24.2,24.36,22.53,11.46,83.28
195,4.22,10.39,0.22,11.8,8,3.41,2.53,13.28
196,0,0,0.15,1.48,4.2,0.25,0,11.78
197,0,0,0,2.74,0.32,1.74,0,0
198,0,0,0,0,0,0,0,0
199,2.1,1.94,0.42,7.71,4.85,2.15,0.66,4.46
200,0,0,0,0,0,0,0,0
201,1.73,2.84,0,80.75,21.25,50.36,7.19,19.76
202,0,0,0,0,0,0,0,0
203,0,0,0.46,0.72,0,0,0,0
204,0,0,0,0,0,0,0,0
205,0,0,0,0,0,0,0,1.64
206,0,0,0,0,0,0,0,0
207,44.44,54.69,10.34,40.56,14.48,9.63,78.23,28.15
208,0,0,0,0,0,0,0,0
209,0,0,0,0,0,0,0,0
210,82.2,132.45,3.92,5.35,8.31,9.51,19.75,51.94
211,0,0,0,0,0,0,0,0
